region,confirmed,deceased,active,recovered,vaccinated,population
Haiti,25907,765,2559,22583,118222,11604823
Vatican City,27,,,27,,804
Honduras,378685,10424,245479,122782,4927085,10133779
Hungary,1213318,37376,159853,1016089,6200040,9624617
Iceland,20044,36,1478,18530,287025,344468
Indonesia,4259857,143979,4833,4111045,148344215,277733551
Iran,6165454,130946,43610,5990898,58569046,85557443
Iraq,2089669,24030,7333,2058306,8009447,41534642
Ireland,640548,5835,133135,501578,3875788,5018065
Israel,1353281,8230,6397,1338654,6430161,9326000
Jamaica,91927,2433,25870,63624,700128,2979989
Jordan,1027844,12118,64189,951537,4252545,10350576
Kazakhstan,981435,12896,17430,951109,8884288,19103575
Kenya,258557,5350,4053,249154,5507903,55493250
South Korea,544117,4518,94629,444970,43197555,51333452
Kosovo,51144,1332,,40989,875615,
Kuwait,413891,2466,425,411000,3317686,4362462
Kyrgyzstan,184094,2777,2151,179166,1174065,6680778
Laos,94554,262,86953,7339,3744740,7429172
Latvia,264965,4419,10069,250477,1296640,1855810
Lebanon,696168,8900,43188,644080,2097664,6780915
Lesotho,23903,665,9310,13928,626669,2166973
Liberia,5844,287,22,5535,605468,5230475
Libya,380464,5583,6945,367936,1796814,7007255
Liechtenstein,5503,68,327,5108,25958,38287
Lithuania,497643,7059,27524,463060,1895310,2666934
Luxembourg,95759,897,5970,88892,454687,640793
Madagascar,45794,980,1421,43393,589003,28725537
Malawi,63408,2311,2057,59040,1291833,19848306
Maldives,93629,259,2024,91346,396254,554392
Mali,18938,634,2698,15606,822145,21098187
Malta,41059,471,1944,38644,437219,443256
Marshall Islands,4,,,4,,59772
Mauritania,39964,852,483,38629,1107814,4827256
Mauritius,22815,680,874,21261,916524,1274842
Moldova,371410,9450,5354,356606,989897,4020305
Monaco,4283,36,257,3990,26672,39647
Mongolia,386258,2041,70961,313256,2263912,3355091
Montenegro,160457,2367,2012,156078,280454,628182
Morocco,952189,14802,1342,936045,24561724,37547280
Mozambique,156729,1948,4575,150206,7241597,32527658
Namibia,134154,3579,4369,126206,387413,2607832
Nepal,825176,11567,5526,808083,10431659,29899029
New Zealand,13238,48,2219,10971,3957272,5002100
Nicaragua,17391,210,,4225,4628897,6739260
Niger,7185,271,35,6879,507223,25478571
Nigeria,221071,2983,6743,211345,8081494,213565164
North Macedonia,220467,7778,5451,207238,885888,2083249
Norway,339008,1202,248854,88952,4261038,5482957
Oman,304783,4113,548,300122,3310409,5295369
Panama,481824,7394,3610,470820,3018085,4413582
Papua New Guinea,35966,587,217,35162,282571,9193503
Paraguay,464096,16523,751,446822,3414571,7260043
Philippines,2837016,50496,10095,2776425,56110301,111703448
Poland,3903445,90306,451611,3361528,21247906,37786230
Portugal,1211130,18717,69672,1122741,9053901,10153397
Qatar,246024,614,2430,242980,2360308,2807805
Romania,1796230,58019,16426,1721785,7830179,19050710
Rwanda,101030,1344,54164,45522,6847793,13418852
Saint Kitts and Nevis,2797,28,8,2761,27436,53747
Saint Lucia,13127,285,86,12756,55218,184849
Saint Vincent and the Grenadines,5723,77,535,5111,32104,111453
Samoa,3,,,3,141356,200334
San Marino,6600,94,528,5978,24922,34035
São Tomé and Príncipe,3735,57,,3676,,225078
Saudi Arabia,550542,8858,1891,539793,24829534,35602651
Senegal,74115,1886,44,72185,1328153,17385102
Serbia,1279445,12306,29021,1238118,3291994,8686098
Seychelles,24047,131,,23574,82117,99234
Sierra Leone,6434,121,4421,1892,747044,8212864
Singapore,274972,808,4381,269783,4744632,5917328
Slovakia,794166,15730,96586,681850,2687040,5463494
Slovenia,445218,5452,19876,419890,1239954,2079354
Solomon Islands,20,,,20,176593,711366
Somalia,23074,1333,8924,12817,892093,16537438
South Africa,3255816,90262,210635,2954919,18530650,60396897
South Sudan,13049,133,340,12576,223920,11384726
Sri Lanka,577724,14698,16528,546498,15960281,21543997
Sudan,45112,3252,5851,36009,4016849,45337477
Suriname,51323,1179,1271,48873,259919,594284
Switzerland,1160120,11932,237726,910462,5919409,8746771
Syria,49565,2833,15867,30865,890837,18118568
Taiwan,16771,849,205,15717,18544759,23879559
Tajikistan,17095,124,,16966,3118206,9849071
Tanzania,26483,734,,183,1592897,62206029
Thailand,2181960,21284,45444,2115232,50095106,70055063
Timor-Leste,19830,122,,19704,,1354965
Togo,26466,244,263,25959,1349188,8560764
Trinidad and Tobago,83130,2503,14661,65966,700738,1406088
Tunisia,720518,25450,1597,693471,6331820,11998623
Turkey,9118424,79863,325632,8712929,56588506,85659998
Uganda,128300,3271,27102,97927,6525371,47838904
United Arab Emirates,743352,2151,2941,738260,9890441,10064313
Uruguay,403582,6149,2499,394934,2758463,3491262
Uzbekistan,196522,1449,1796,193277,18352007,34174966
Vanuatu,6,1,0,5,100264,317578
Venezuela,439935,5258,6544,428133,16415684,28318567
Vietnam,1493237,28857,399919,1064461,75140181,98613540
Palestine,435473,4590,3993,426890,2020110,5273798
Yemen,10086,1973,1155,6958,556652,30780972
Zambia,213139,3673,2666,206800,806611,19131970
Zimbabwe,182057,4759,46378,130920,4000022,15177730
Kiribati,,,,,59492,
Palau,8,,,8,,18220
Summer Olympics 2020,,,,,,
Tonga,1,,,1,73296,107439
United States,51435652,824514,10204372,40406766,239975167,333828917
India,34721174,476478,89817,34154879,822545653,1399754028
Brazil,22204941,617521,173102,21414318,165135181,214759325
United Kingdom,11097851,146937,1292539,9658375,51332920,68405286
Russia,10131646,294024,960834,8876788,70658248,146226276
Germany,6709218,108154,982464,5618600,60679186,84174101
Spain,,,,,38567949,46781156
Italy,5308180,135301,317930,4854949,47696102,60332316
Colombia,5101466,129295,29780,4942391,39768049,51672290
Mexico,3924638,297187,347548,3279903,81770394,130904481
Ukraine,3588147,92313,211019,3284815,14269055,43350953
Netherlands,2936761,20310,602234,2314217,13292944,17190090
Malaysia,2707402,31026,56229,2620147,25911302,32969468
Peru,2258456,201992,,,23574494,33640178
Belgium,1980120,27729,486110,1466281,8876959,11663074
Canada,1857999,30012,43909,1784078,31297238,38223893
Chile,1787676,38773,57174,1691729,17068212,19355085
Japan,1729208,18376,993,1709839,100112091,125912415
Pakistan,1290214,28849,9451,1251914,86333973,227129784
Sweden,1246755,15191,60399,1171165,7689518,10190958
Australia,238945,2126,21399,215420,20268871,25930492
Reunion,67237,393,,62026,,904615
Guadeloupe,55441,749,,2250,,400224
Martinique,46700,749,,104,,374841
French Guiana,46690,335,,11254,,309932
French Polynesia,46342,636,,,,283272
Channel Islands,21457,108,,19440,,176196
Mayotte,21139,185,,2964,,282382
Curacao,17693,183,,17322,,165070
Aruba,16716,178,,16307,,107426
Isle of Man,12895,67,,12020,,85688
New Caledonia,12445,280,,11979,,289493
Cayman Islands,8036,9,,4572,,66845
Gibraltar,7683,100,,7268,,33676
Bermuda,5815,106,,5647,,61943
Sint Maarten,4664,75,,4543,,43584
Faroe Islands,4477,13,,4040,,49133
Saint Martin,4008,56,,1399,,39625
Caribbean Netherlands,3162,22,,3016,,26578
Turks and Caicos Islands,3151,25,,3074,,39479
British Virgin Islands,2842,39,,,,30524
Greenland,1937,,,1728,,56913
Saint Barthelemy,1603,6,,,,9921
Anguilla,1592,4,,1521,,15198
Wallis and Futuna,454,7,9,438,6016,10952
Saint Pierre and Miquelon,96,,,74,,5753
Falkland Islands,83,,,,,3627
Montserrat,44,1,,43,,4996
Western Sahara,10,1,,8,,618684
Saint Helena,2,,,2,4361,6103
Micronesia,1,,,1,,116778
China,100000,4636,1506,93858,1225000000,1439323776
