region,confirmed,deceased,active,recovered,vaccinated,population
World,273197272,5352178,23964446,243518963,4452957348,7869214770
Afghanistan,157725,7332,4886,145507,4397449,40202854
Albania,204928,3156,5474,196298,1108572,2873220
Algeria,213745,6171,60505,147069,6875003,45002737
Andorra,20549,134,2130,18285,56095,77445
Angola,65648,1737,276,63635,7246240,34351114
Antigua and Barbuda,4177,117,27,4033,61921,99109
Argentina,5376642,116874,34316,5225452,37483922,45799502
Armenia,343157,7874,8254,327029,869750,2971310
Austria,1242333,13386,54032,1174915,6508446,9081225
Azerbaijan,608060,8149,17668,582243,5128454,10272216
The Bahamas,22971,713,,21666,,398714
Bahrain,278257,1394,405,276458,1194132,1787443
Bangladesh,1580559,28041,7404,1545114,87200103,167077715
Barbados,27071,255,1587,25229,154565,287887
Belarus,679873,5338,3534,671001,3812391,9444796
Belize,31217,589,606,30022,229107,408127
Benin,24907,161,41,24705,1087430,12584631
Bhutan,2652,3,19,2630,589482,783974
Bolivia,558565,19372,32022,507171,5248232,11904720
Bosnia and Herzegovina,283784,13091,78475,192218,833233,3251086
Botswana,199864,2425,4987,192452,1125993,2420671
Brunei,15376,98,220,15058,405092,443577
Bulgaria,720376,29847,95166,595363,1904143,6872232
Burkina Faso,16672,296,450,15926,442769,21736084
Myanmar,527714,19201,4031,504482,16849172,54940884
Burundi,21143,38,20332,773,2812,12405201
Cape Verde,38541,351,98,38092,299770,564776
Cambodia,120397,2998,640,116759,14216413,17055649
Cameroon,107662,1836,519,105307,793725,27506224
Central African Republic,11961,101,5001,6859,446712,4951911
Chad,5701,181,646,4874,285922,17110599
Hong Kong,12507,213,114,12180,4819195,7585530
Macao,77,,,77,489450,662215
Comoros,4589,151,,4391,282378,896534
Congo,19179,365,6393,12421,734721,5715491
DR Congo,63388,1126,,50930,,93516261
Costa Rica,568428,7336,1596,559496,3922190,5161834
Ivory Coast,61998,706,,61044,,27327624
Croatia,666162,11825,24082,630255,2232429,4068382
Cuba,963885,8313,373,955199,10223122,11316546
Cyprus,143510,616,18524,124370,635562,1220155
Czechia,2378728,34923,243481,2100324,6758133,10737917
Denmark,589274,3051,92061,494162,4683236,5821907
Djibouti,13526,189,33,13304,108945,1008905
Dominica,6286,42,370,5874,29184,72246
Dominican Republic,411014,4220,1639,405155,6914602,11006257
Ecuador,535414,33586,57948,443880,13997698,18032833
Egypt,372599,21234,41316,310049,29529394,105141440
El Salvador,121267,3802,12476,104989,4457489,6533862
Equatorial Guinea,13617,175,36,13406,249067,1469916
Eritrea,7713,65,,7509,,3617842
Estonia,230514,1869,13287,215358,835360,1327834
Eswatini,57842,1255,9997,46590,302675,1177649
Ethiopia,374402,6855,16850,350697,9042289,119102317
Fiji,52604,697,745,51162,659250,905903
Finland,211239,1446,163793,46000,4322490,5553256
France,8460712,121171,909342,7430199,52358679,65483872
Gabon,37681,285,2306,35090,392898,2302073
The Gambia,10045,342,,9645,,2515306
Georgia,901202,12918,39194,849090,1285859,3978012
Ghana,131911,1255,973,129683,2651463,32016031
Greece,1022141,19651,59348,943142,7286731,10348879
Grenada,5915,200,50,5665,40930,113282
Guatemala,623195,16061,756,606378,6293148,18397562
Guinea,30814,388,650,29776,1687180,13650385
Guinea-Bissau,6455,149,19,6287,385186,2035611
Guyana,38728,1026,740,36962,406072,792079
