region,confirmed,deceased,vaccinated,population
Laos,86148,231,3744740,7427440
Latvia,261463,4366,1289749,1856150
Lebanon,686725,8824,1991658,6781413
Lesotho,22448,664,626669,2166695
Liberia,5833,287,506647,5228521
Libya,377450,5540,1759338,7005723
Liechtenstein,5275,67,25857,38286
Lithuania,489673,6956,1885081,2667552
Luxembourg,93429,890,449972,640626
Madagascar,44800,972,589003,28713829
Malawi,62147,2307,1218720,19840176
Maldives,92846,257,396066,554235
Mali,18404,623,822145,21088586
Malta,40357,470,436574,443236
Marshall Islands,4,,,59765
Mauritania,39742,848,1097581,4825245
Mauritius,22461,680,916524,1274807
Moldova,369013,9333,948882,4020458
Monaco,4054,36,26672,39642
Mongolia,385196,2031,2262458,3354225
Montenegro,159433,2347,278846,628180
Morocco,951267,14795,24547579,37540110
Mozambique,152965,1942,6801754,32513247
Namibia,131230,3575,378182,2607077
Nepal,823980,11553,10431659,29890427
New Zealand,12781,46,3943167,5002100
Nicaragua,17328,210,4338241,6737969
Niger,7149,267,507223,25464119
Nigeria,216451,2981,7350443,213481154
North Macedonia,218723,7710,885888,2083251
Norway,310781,1136,4253000,5482263
Oman,304679,4113,3310409,5293233
Panama,480217,7385,3013250,4412467
Papua New Guinea,35835,573,269366,9190720
Paraguay,463650,16500,3395632,7258607
Philippines,2836360,50096,40517967,111679536
Poland,3808798,88414,21081218,37786907
Portugal,1185036,18626,9072280,10153882
Qatar,245030,612,2360308,2807805
Romania,1791502,57531,7830179,19052803
Rwanda,100556,1344,6388237,13413573
Saint Kitts and Nevis,2795,28,27350,53741
Saint Lucia,13086,283,54930,184835
Saint Vincent and the Grenadines,5692,77,31993,111447
Samoa,3,,139865,200312
San Marino,6217,94,24922,34034
São Tomé and Príncipe,3733,57,,225011
Saudi Arabia,550136,8851,24751433,35593757
Senegal,74065,1886,1334702,17377844
Serbia,1271794,12113,3282950,8686672
Seychelles,23806,129,81937,99224
Sierra Leone,6421,121,747044,8210200
Singapore,272433,783,4744632,5916575
Slovakia,769944,15304,2672905,5463451
Slovenia,439165,5394,1236778,2079350
Solomon Islands,20,,161521,711089
Somalia,23074,1333,892093,16530141
South Africa,3112469,90080,18157324,60384640
South Sudan,12873,133,219733,11382575
Sri Lanka,571426,14573,15949941,21542528
Sudan,44529,3208,2782463,45320648
Suriname,51167,1176,259325,594198
Switzerland,1106573,11783,5893776,8745735
Syria,49101,2804,890837,18111579
Taiwan,16731,848,18391917,23878855
Tajikistan,17095,124,3118206,9845551
Tanzania,26309,734,1592897,62178025
Thailand,2164859,21149,49223323,70052200
Timor-Leste,19829,122,,1354552
Togo,26372,243,1281856,8557575
Trinidad and Tobago,79237,2361,696950,1406014
Tunisia,719247,25419,6228209,11996597
Turkey,9002968,78778,56468112,85645129
Uganda,127913,3267,6525371,47815108
United Arab Emirates,742719,2151,9890357,10062354
Uruguay,402149,6141,2755099,3491065
Uzbekistan,195524,1434,18056727,34167011
Vanuatu,6,1,96141,317460
Venezuela,437113,5229,16415684,28319882
Vietnam,1382272,27402,74039917,98599197
Palestine,433547,4568,1986530,5271849
Yemen,10056,1962,556652,30770178
Zambia,210959,3669,806611,19123497
Zimbabwe,161998,4729,3908712,15174181
Kiribati,,,59492,
Palau,8,,,18218
Summer Olympics 2020,,,,
Tonga,1,,73296,107419
United States,50705257,817326,237468725,333797157
India,34682736,475128,810142506,1399531786
Brazil,22184824,616733,164914808,214734593
United Kingdom,10719165,146255,51183457,68399452
Russia,9986967,288351,68953540,146226276
Germany,6463737,105931,60123901,84169720
Spain,,,38465787,46780860
Italy,5185270,134669,47540726,60333768
Colombia,5089695,129011,38974456,51663404
Mexico,3914706,296385,78816099,130882288
Ukraine,3553817,90789,14031951,43355238
Netherlands,2846126,20004,13274722,17189470
Malaysia,2683523,30831,25865614,32962670
Peru,2251027,201650,22946103,33632647
Belgium,1929772,27504,8859951,11662249
Canada,1827755,29900,31107647,38218474
Chile,1779865,38638,16903669,19352398
Japan,1728548,18372,100036244,125918735
Pakistan,1288761,28823,83679855,227059355
Sweden,1229217,15158,7649959,10189927
Australia,227381,2100,20180465,25925643
Reunion,63863,391,,904510
Guadeloupe,55284,748,,400223
French Guiana,46421,332,,309805
French Polynesia,46334,636,,283246
Martinique,45501,718,,374846
Mayotte,21088,185,,282274
Channel Islands,20327,107,,176170
Curacao,17560,182,,165059
Aruba,16549,177,,107419
Isle of Man,12441,67,,85681
New Caledonia,12376,280,,289448
Cayman Islands,7839,9,,66833
Gibraltar,7485,100,,33677
Bermuda,5764,106,,61947
Sint Maarten,4628,75,,43576
Faroe Islands,4275,13,,49130
Saint Martin,3973,56,,39614
Turks and Caicos Islands,3130,25,,39471
Caribbean Netherlands,3119,22,,26574
British Virgin Islands,2816,38,,30521
Greenland,1774,,,56912
Saint Barthelemy,1603,6,,9920
Anguilla,1523,4,,15196
Wallis and Futuna,454,7,6016,10955
Saint Pierre and Miquelon,91,,,5753
Falkland Islands,83,,,3626
Montserrat,44,1,,4996
Western Sahara,10,1,,618443
Saint Helena,2,,4361,6103
Micronesia,1,,,116758
China,99604,4636,1225000000,1439323776
