region,confirmed,deceased,vaccinated,population
World,269543846,5314669,4373212722,7867986158
Afghanistan,157611,7325,4397449,40188447
Albania,203215,3130,1092316,2873271
Algeria,212434,6132,6875003,44989739
Andorra,19440,133,56095,77443
Angola,65371,1737,7003795,34334275
Antigua and Barbuda,4159,117,61420,99096
Argentina,5354440,116748,37157341,45792710
Armenia,342405,7788,835816,2971219
Austria,1225555,13143,6433003,9080385
Azerbaijan,602137,8055,5110938,10270719
The Bahamas,22881,708,,398652
Bahrain,277997,1394,1191857,1786468
Bangladesh,1578819,28017,65835395,167050838
Barbados,26668,249,154177,287882
Belarus,671432,5245,3812391,9444846
Belize,31033,586,228517,408008
Benin,24897,161,1087430,12579408
Bhutan,2649,3,589482,783835
Bolivia,549638,19281,5148121,11902109
Bosnia and Herzegovina,280980,12918,833233,3251419
Botswana,196090,2421,955135,2419891
Brunei,15283,98,404707,443508
Bulgaria,713083,29459,1786530,6873085
Burkina Faso,16334,290,442769,21726652
Myanmar,526024,19170,16849172,54934914
Burundi,20666,38,2259,12399370
Cape Verde,38489,351,299770,564678
Cambodia,120343,2982,14189643,17051855
Cameroon,107549,1823,792208,27495358
Central African Republic,11912,101,375096,4950533
Chad,5701,181,198522,17102841
Hong Kong,12484,213,4796573,7584534
Macao,77,,487672,662070
Comoros,4564,151,281946,896229
Congo,19066,359,550142,5713258
DR Congo,59851,1118,,93471423
Costa Rica,567995,7332,3904671,5161073
Ivory Coast,61882,706,,27316883
Croatia,648003,11516,2217755,4068794
Cuba,963493,8311,10202801,11316658
Cyprus,140030,607,630566,1220012
Czechia,2325181,34377,6728122,10737592
Denmark,542794,2996,4627802,5821574
Djibouti,13514,188,82858,1008669
Dominica,6233,42,28898,72243
Dominican Republic,409862,4218,6901796,11004475
Ecuador,530865,33498,13796237,18028438
Egypt,367456,20966,27979218,105109751
El Salvador,119803,3793,4448067,6533327
Equatorial Guinea,13612,175,247933,1469157
Eritrea,7616,63,,3617037
Estonia,227902,1848,832319,1327820
Eswatini,51172,1248,302675,1177452
Ethiopia,372868,6822,8833591,119055493
Fiji,52577,697,655857,905796
Finland,201051,1421,4309490,5553116
France,8105785,120168,52189810,65481511
Gabon,37551,281,186639,2301209
The Gambia,9998,342,,2514189
Georgia,886364,12695,1243023,3978137
Ghana,131246,1228,2651463,32005376
Greece,994901,19085,7201721,10349710
Grenada,5913,200,40561,113274
Guatemala,621844,16029,6181690,18392121
Guinea,30798,388,1680365,13644524
Guinea-Bissau,6447,149,368424,2034847
Guyana,38453,1016,404122,792017
Haiti,25744,758,118222,11602545
Vatican City,27,,,804
Honduras,378561,10421,4927085,10131195
Hungary,1182922,36429,6171489,9625017
Iceland,19159,35,286650,344431
Indonesia,4258752,143923,144446324,277686164
Iran,6150843,130603,58094169,85539819
Iraq,2087247,23959,7880958,41519809
Ireland,614952,5788,3870543,5017161
Israel,1349385,8210,6395707,9326000
Jamaica,91652,2418,690649,2979777
Jordan,1003428,11917,4212531,10348917
Kazakhstan,978930,12837,8821764,19099894
Kenya,255932,5342,5156080,55473788
South Korea,510583,4210,42871274,51332731
Kosovo,51144,1332,864550,
Kuwait,413637,2466,3314143,4361427
Kyrgyzstan,183931,2768,1154666,6679011
