region,confirmed,deceased,active,recovered,vaccinated,population
Samoa,3,,,3,141356,200341
San Marino,7007,95,753,6159,24282,34035
São Tomé and Príncipe,3735,57,,3676,,225100
Saudi Arabia,550738,8861,1896,539981,24845946,35605616
Senegal,74141,1886,52,72203,1328153,17387521
Serbia,1281659,12364,26786,1242509,3291994,8685907
Seychelles,24047,131,,23574,82117,99237
Sierra Leone,6471,121,4458,1892,747044,8213752
Singapore,275655,810,3991,270854,4744632,5917579
Slovakia,802684,15931,80576,706177,2696761,5463508
Slovenia,447792,5483,18803,423506,1241461,2079356
Solomon Islands,20,,,20,176593,711458
Somalia,23169,1333,8933,12903,892093,16539870
South Africa,3292609,90345,209975,2992289,18600540,60400983
South Sudan,13309,133,562,12614,227262,11385443
Sri Lanka,579134,14734,17218,547182,15964289,21544486
Sudan,45112,3252,5851,36009,4016849,45343086
Suriname,51384,1180,1330,48874,260304,594312
Switzerland,1169968,11967,235844,922157,5929752,8747117
Syria,49693,2841,15791,31061,1002945,18120898
Taiwan,16799,849,211,15739,18585322,23879794
Tajikistan,17095,124,,16966,4374694,9850244
Tanzania,26483,734,,183,1592897,62215364
Thailand,2191528,21375,41795,2128358,50095106,70056018
Timor-Leste,19833,122,,19704,,1355102
Togo,26550,244,344,25962,1349188,8561827
Trinidad and Tobago,84793,2560,15339,66894,701503,1406113
Tunisia,720853,25460,1543,693850,6349206,11999299
Turkey,9154209,80244,311223,8762742,56636507,85664955
Uganda,128764,3272,27521,97971,6525371,47846836
United Arab Emirates,743852,2151,3196,738505,9890441,10064966
Uruguay,404255,6153,2763,395339,2761525,3491328
Uzbekistan,196900,1456,1735,193709,18433447,34177618
Vanuatu,6,1,0,5,100264,317617
Venezuela,440784,5272,6462,429050,18393519,28318128
Vietnam,1524368,29351,397854,1097163,75215180,98618321
Palestine,435971,4599,3773,427599,2020110,5274448
Yemen,10097,1976,1156,6965,556652,30784570
Zambia,215472,3678,4771,207023,806611,19134794
