region,confirmed,deceased,vaccinated,population
World,269106111,5307780,4373123894,7867781389
United States,50547419,815413,237468725,333791863
India,34674744,474735,810142506,1399494746
Brazil,22177059,616504,164914808,214730471
United Kingdom,10719165,146255,51183457,68398479
Russia,9956679,287180,68953540,146226276
Turkey,8984407,78602,56468112,85642651
France,8105785,120168,52189810,65481117
Germany,6438677,105717,60123901,84168990
Iran,6150843,130603,58094169,85536882
Argentina,5350867,116719,37157341,45791578
Italy,5185270,134669,47540726,60334010
Colombia,5088008,128969,38974456,51661923
Indonesia,4258752,143923,144446324,277678266
Mexico,3911714,296186,78816099,130878589
Poland,3785036,87928,21081218,37787020
Ukraine,3543684,90343,14031951,43355952
South Africa,3093452,90060,18157324,60382597
Netherlands,2846126,20004,13274722,17189367
Philippines,2836200,49961,40517967,111675551
Malaysia,2678465,30787,25865614,32961537
Czechia,2312736,34242,6728122,10737538
Peru,2249671,201527,22946103,33631391
Thailand,2160780,21110,49223323,70051723
Iraq,2087247,23959,7880958,41517337
Belgium,1914527,27463,8859951,11662112
Canada,1823010,29876,31107647,38217571
Romania,1791502,57531,7830179,19053151
Chile,1779865,38638,16903669,19351950
Japan,1728410,18371,100036244,125919788
Bangladesh,1578819,28017,65835395,167046359
Vietnam,1382272,27402,74039917,98596806
Israel,1349134,8210,6395707,9326000
Pakistan,1288366,28812,83679855,227047616
Serbia,1271794,12113,3282950,8686768
Sweden,1229217,15158,7649959,10189756
Austria,1221095,13076,6433003,9080244
Portugal,1185036,18626,9072280,10153963
Hungary,1182922,36429,6171489,9625084
Switzerland,1106573,11776,5893776,8745563
Jordan,998492,11879,4212531,10348640
Greece,994901,19085,7201721,10349848
Kazakhstan,978362,12828,8821764,19099281
Cuba,963428,8311,10202801,11316677
Morocco,951267,14795,24547579,37538915
Georgia,882822,12631,1243023,3978158
Nepal,823786,11552,10431659,29888993
Slovakia,764112,15236,2672905,5463444
United Arab Emirates,742641,2151,9801529,10062028
Tunisia,719006,25416,6228209,11996260
Bulgaria,711364,29382,1786530,6873227
Lebanon,685162,8814,1991658,6781497
Belarus,671432,5245,3812391,9444855
Croatia,648003,11516,2217755,4068863
Guatemala,621328,16020,6181690,18391215
Ireland,610855,5788,3870543,5017010
Azerbaijan,602137,8055,5110938,10270470
Sri Lanka,571239,14573,15949941,21542283
Costa Rica,567906,7328,3904671,5160946
Saudi Arabia,550136,8851,24751433,35592274
Bolivia,547892,19276,5148121,11901674
Denmark,542794,2996,4627802,5821518
Ecuador,530126,33494,13796237,18027706
Myanmar,526024,19170,16849172,54933920
South Korea,503606,4130,42871274,51332611
Lithuania,487953,6933,1885081,2667655
Panama,480090,7382,3013250,4412282
Paraguay,463580,16492,3395632,7258368
Slovenia,437689,5384,1236778,2079349
Venezuela,436602,5223,16415684,28320101
Palestine,433217,4562,1986530,5271524
Kuwait,413608,2466,3314143,4361254
Dominican Republic,409490,4214,6901796,11004178
Uruguay,401897,6140,2755099,3491033
Mongolia,384912,2028,2262458,3354081
Honduras,378547,10419,4927085,10130764
Libya,377450,5540,1759338,7005468
Ethiopia,372711,6819,8833591,119047689
Moldova,369013,9333,948882,4020484
Egypt,366634,20919,27979218,105104469
Armenia,342115,7767,835816,2971204
Norway,305368,1135,4253000,5482147
Oman,304679,4113,3310409,5292877
Bosnia and Herzegovina,280980,12918,833233,3251475
Bahrain,277964,1394,1191857,1786305
Singapore,271979,779,4744632,5916449
Latvia,260658,4360,1289749,1856206
Kenya,255932,5342,5156080,55470545
Qatar,245030,612,2360308,2807805
Estonia,227446,1845,832319,1327817
Australia,225643,2082,20180465,25924835
North Macedonia,218362,7695,885888,2083251
Nigeria,215918,2981,7350443,213467152
Algeria,212224,6126,6875003,44987572
Zambia,210724,3668,806611,19122085
Albania,202863,3128,1092316,2873280
Finland,201051,1421,4309490,5553092
Botswana,196090,2421,955135,2419761
Uzbekistan,195246,1430,18056727,34165685
Kyrgyzstan,183863,2766,1154666,6678717
Montenegro,159214,2340,278846,628180
Afghanistan,157601,7322,4397449,40186045
Zimbabwe,155817,4723,3908712,15173590
Mozambique,152586,1941,6801754,32510845
Cyprus,139368,607,630566,1219988
Ghana,131246,1228,2651463,32003600
Namibia,131230,3575,378182,2606951
Uganda,127877,3265,6525371,47811143
Cambodia,120327,2978,14189643,17051222
El Salvador,119803,3792,4448067,6533238
Cameroon,107549,1823,792208,27493547
Rwanda,100517,1344,6388237,13412693
China,99517,4636,1225000000,1439323776
Luxembourg,93060,889,449972,640598
Maldives,92754,256,396066,554209
Jamaica,91601,2416,690649,2979742
Laos,86148,231,3744740,7427152
Trinidad and Tobago,78339,2336,696950,1406001
Senegal,74065,1886,1334702,17376634
Angola,65346,1736,7003795,34331468
Reunion,63863,391,,904493
Malawi,62088,2307,1218720,19838821
Ivory Coast,61863,706,,27315093
DR Congo,59208,1115,,93463950
Guadeloupe,55284,748,,400222
Fiji,52577,697,655857,905779
Suriname,51149,1176,259325,594183
Kosovo,51144,1332,864550,
Eswatini,50337,1248,302675,1177419
Syria,49008,2798,890837,18110414
French Guiana,46365,331,,309784
French Polynesia,46334,636,,283241
Martinique,45501,718,,374847
Madagascar,44800,972,589003,28711878
Sudan,44406,3206,2782463,45317844
Malta,40357,470,436574,443233
Mauritania,39704,846,1097581,4824910
Cape Verde,38482,351,299770,564661
Guyana,38402,1014,404122,792006
Gabon,37551,281,186639,2301066
Papua New Guinea,35835,573,269366,9190257
Belize,30991,586,228517,407988
Guinea,30798,388,1680365,13643547
Barbados,26565,246,154177,287881
Togo,26357,243,1281856,8557043
Tanzania,26309,734,1592897,62173358
Haiti,25744,758,118222,11602165
Benin,24897,161,1087430,12578538
Seychelles,23806,129,81937,99222
Somalia,23051,1331,892093,16528924
The Bahamas,22859,705,,398642
Mauritius,22461,455,916524,1274802
Lesotho,21838,663,626669,2166649
Mayotte,21043,185,,282256
Burundi,20610,38,2259,12398398
Channel Islands,20159,107,,176165
Timor-Leste,19829,122,,1354484
Andorra,19272,133,56095,77443
Iceland,19159,35,286650,344425
Congo,19066,359,550142,5712885
Mali,18329,622,822145,21086986
Curacao,17540,180,,165057
Nicaragua,17328,210,4338241,6737753
Tajikistan,17095,124,3118206,9844964
Taiwan,16721,848,18391917,23878737
Aruba,16531,176,,107418
Burkina Faso,16334,290,442769,21725080
Brunei,15283,98,404707,443497
Equatorial Guinea,13599,175,247933,1469030
Djibouti,13514,188,82858,1008630
Saint Lucia,13067,283,54930,184833
South Sudan,12842,133,219733,11382216
New Zealand,12621,44,3943167,5002100
Hong Kong,12483,213,4796573,7584368
New Caledonia,12358,280,,289441
Isle of Man,12346,67,,85680
Central African Republic,11742,101,375096,4950304
Yemen,10056,1962,556652,30768379
The Gambia,9998,342,,2514003
Cayman Islands,7839,9,,66830
Eritrea,7616,63,,3616903
Gibraltar,7485,100,,33677
Niger,7131,265,507223,25461710
Guinea-Bissau,6445,149,368424,2034719
Sierra Leone,6420,121,747044,8209756
San Marino,6217,94,24922,34034
Dominica,6208,42,28898,72243
Grenada,5913,200,40561,113272
Liberia,5832,287,506647,5228195
Bermuda,5760,106,,61947
Chad,5701,181,198522,17101548
Saint Vincent and the Grenadines,5645,76,31993,111446
Liechtenstein,5222,67,25857,38285
Sint Maarten,4624,75,,43575
Comoros,4560,151,281946,896179
Faroe Islands,4212,13,,49130
Antigua and Barbuda,4151,117,61420,99094
Monaco,4006,36,26672,39642
