region,confirmed,deceased,active,recovered,vaccinated,population
El Salvador,121200,3800,12525,104875,4457489,6533684
Equatorial Guinea,13612,175,51,13386,247933,1469663
Eritrea,7675,64,,7449,,3617574
Estonia,229214,1868,13569,213777,834424,1327830
Eswatini,54731,1254,7364,46113,302675,1177583
Ethiopia,373564,6842,16205,350517,9006413,119086709
Fiji,52593,697,739,51157,659250,905867
Finland,207033,1444,159589,46000,4322199,5553210
France,8334133,120832,850693,7362608,52293301,65483085
Gabon,37626,285,2819,34522,219775,2301785
The Gambia,10045,342,,9645,,2514934
Georgia,894801,12826,40990,840985,1271145,3978054
Ghana,131547,1243,738,129566,2651463,32012479
Greece,1012659,19475,61178,932006,7265570,10349156
Grenada,5915,200,50,5665,40930,113279
Guatemala,622525,16051,778,605696,6269844,18395748
Guinea,30814,388,650,29776,1687180,13648431
Guinea-Bissau,6450,149,16,6285,385186,2035356
Guyana,38618,1024,810,36784,404122,792058
Haiti,25865,762,2827,22276,118222,11604064
Vatican City,27,,,27,,804
Honduras,378615,10424,245600,122591,4927085,10132918
Hungary,1202514,37079,168918,996517,6192253,9624750
Iceland,19708,36,1390,18282,286650,344455
Indonesia,4259439,143960,4905,4110574,146875959,277717755
Iran,6160303,130831,48906,5980566,58569046,85551568
Iraq,2088833,24007,7893,2056933,8009447,41529697
Ireland,632177,5788,133729,492660,3874974,5017764
Israel,1351776,8224,6321,1337231,6415186,9326000
Jamaica,91843,2429,25847,63567,698433,2979918
Jordan,1019691,12048,65748,941895,4245889,10350023
Kazakhstan,980372,12876,18099,949397,8856816,19102348
Kenya,256815,5349,2662,248804,5375123,55486763
South Korea,528652,4387,88724,435541,43040967,51333211
Kosovo,51144,1332,,40989,872196,
Kuwait,413790,2466,374,410950,3317686,4362117
Kyrgyzstan,184027,2773,2174,179080,1169585,6680189
Laos,91816,250,84227,7339,3744740,7428595
Latvia,263145,4390,10182,248573,1293615,1855923
Lebanon,692315,8873,40514,642928,2074802,6781081
Lesotho,23223,664,8699,13860,626669,2166880
Liberia,5844,287,22,5535,605468,5229823
Libya,379328,5569,7596,366163,1785671,7006745
Liechtenstein,5405,68,343,4994,25931,38287
Lithuania,493471,7021,26681,459769,1891890,2667140
Luxembourg,94511,896,5471,88144,454687,640737
Madagascar,45794,980,1421,43393,589003,28721635
Malawi,62615,2310,1427,58878,1276252,19845596
Maldives,93370,258,1994,91118,396207,554339
Mali,18718,633,2507,15578,822145,21094987
Malta,40724,471,1818,38435,437038,443249
Marshall Islands,4,,,4,,59769
Mauritania,39878,852,524,38502,1106694,4826586
Mauritius,22710,680,987,21043,916524,1274830
Moldova,370459,9414,5598,355447,948882,4020356
Monaco,4160,36,209,3915,26672,39646
Mongolia,385638,2038,70344,313256,2262883,3354802
Montenegro,160111,2360,2014,155737,279873,628181
Morocco,951763,14798,1373,935592,24561724,37544890
Mozambique,154520,1945,2586,149989,7105910,32522854
Namibia,133090,3578,3404,126108,378182,2607580
Nepal,824764,11559,5689,807516,10431659,29896162
New Zealand,13067,47,6863,6157,3952372,5002100
Nicaragua,17391,210,,4225,4402422,6738830
Niger,7170,269,22,6879,507223,25473754
Nigeria,218596,2983,4359,211254,7894068,213537161
North Macedonia,219843,7754,5428,206661,885888,2083250
Norway,328747,1141,238654,88952,4259058,5482726
Oman,304741,4113,517,300111,3310409,5294657
Panama,481438,7391,3486,470561,3015800,4413210
Papua New Guinea,35962,587,254,35121,282571,9192576
Paraguay,463926,16516,707,446703,3414571,7259565
Philippines,2836868,50351,10526,2775991,40517967,111695478
Poland,3857085,89045,434727,3333313,21196780,37786456
Portugal,1200193,18687,65757,1115749,9053901,10153559
Qatar,245690,613,2443,242634,2360308,2807805
Romania,1794589,57847,17658,1719084,7830179,19051408
Rwanda,100763,1344,53897,45522,6388237,13417092
Saint Kitts and Nevis,2796,28,10,2758,27358,53745
Saint Lucia,13105,283,77,12745,55063,184845
Saint Vincent and the Grenadines,5723,77,535,5111,32104,111451
Samoa,3,,,3,141356,200326
San Marino,6600,94,528,5978,24922,34034
São Tomé and Príncipe,3733,57,,3675,,225056
Saudi Arabia,550369,8856,1877,539636,24791173,35599686
Senegal,74094,1886,46,72162,1334702,17382683
Serbia,1276761,12241,30221,1234299,3288762,8686290
Seychelles,23806,129,,23294,82117,99230
Sierra Leone,6423,121,4410,1892,747044,8211976
Singapore,274143,804,5039,268300,4744632,5917077
Slovakia,781989,15516,101804,664669,2687035,5463480
Slovenia,442347,5436,21391,415520,1238752,2079353
Solomon Islands,20,,,20,176593,711274
Somalia,23074,1333,8924,12817,892093,16535005
South Africa,3204642,90172,170900,2943570,18452800,60392811
South Sudan,12904,133,195,12576,223920,11384009
Sri Lanka,576194,14661,15765,545768,15956438,21543507
Sudan,45112,3252,5851,36009,2782463,45331867
Suriname,51244,1178,20480,29586,259919,594255
Switzerland,1137969,11874,223874,902221,5914759,8746426
Syria,49423,2823,15930,30670,890837,18116239
Taiwan,16752,848,208,15696,18503657,23879324
Tajikistan,17095,124,,16966,3118206,9847897
Tanzania,26309,734,,183,1592897,62196694
Thailand,2174906,21229,47533,2106144,49923276,70054109
Timor-Leste,19830,122,,19704,,1354827
Togo,26416,243,226,25947,1349188,8559701
Trinidad and Tobago,81857,2454,14425,64978,699027,1406063
Tunisia,719903,25443,1342,693118,6312309,11997948
Turkey,9080452,79503,338923,8662026,56544501,85655042
Uganda,128120,3269,27030,97821,6525371,47830972
United Arab Emirates,743004,2151,2804,738049,9890574,10063660
Uruguay,402978,6146,2307,394525,2757307,3491197
Uzbekistan,196094,1442,1811,192841,18249626,34172314
Vanuatu,6,1,0,5,100264,317539
Venezuela,439089,5245,6736,427108,16415684,28319005
Vietnam,1443648,28333,354879,1060436,74907297,98608759
Palestine,434738,4587,3937,426214,2020110,5273148
Yemen,10075,1972,1154,6949,556652,30777374
Zambia,211705,3671,1318,206716,806611,19129145
Zimbabwe,172012,4740,37321,129951,3967781,15176547
Kiribati,,,,,59492,
Palau,8,,,8,,18219
Summer Olympics 2020,,,,,,
Tonga,1,,,1,73296,107432
United States,51135983,821325,10084345,40230313,239274656,333818330
India,34710630,475888,95979,34138763,817907560,1399679947
Brazil,22195775,617121,164336,21414318,164935175,214751081
United Kingdom,10932545,146627,1211372,9574546,51298838,68403341
Russia,10074797,291749,979048,8804000,70173142,146226276
Germany,6600511,107166,996045,5497300,60462369,84172641
Spain,,,,,38514698,46781057
Italy,5258886,135049,297394,4826443,47663834,60332800
Colombia,5097680,129205,30184,4938291,39598761,51669328
Mexico,3918987,296721,346803,3275463,80503005,130897083
Ukraine,3570448,91602,245837,3233009,14174399,43352381
Netherlands,2906969,20214,611788,2274967,13274722,17189884
Malaysia,2699240,30956,57674,2610610,25908664,32967202
Peru,2255318,201848,,,23347809,33637668
Belgium,1959193,27631,474354,1457208,8870537,11662799
Canada,1845256,29969,37807,1777480,31210861,38222087
Chile,1785124,38723,58636,1687765,17035641,19354190
Japan,1728906,18374,921,1709611,100073116,125914522
Pakistan,1289543,28839,9120,1251584,85208104,227106308
Sweden,1238689,15168,54202,1169319,7662893,10190614
Australia,232738,2113,18521,212104,20230376,25928876
Reunion,67237,393,,62026,,904580
Guadeloupe,55284,748,,2250,,400223
French Guiana,46590,333,,11254,,309890
French Polynesia,46334,636,,,,283264
Martinique,45501,718,,104,,374843
Mayotte,21129,185,,2964,,282346
Channel Islands,20996,107,,19148,,176187
Curacao,17618,182,,17298,,165067
Aruba,16646,178,,16241,,107424
Isle of Man,12731,67,,11919,,85686
New Caledonia,12400,280,,11961,,289478
Cayman Islands,7960,9,,4476,,66841
Gibraltar,7589,100,,7240,,33676
Bermuda,5784,106,,5643,,61944
Sint Maarten,4656,75,,4535,,43582
Faroe Islands,4477,13,,4040,,49132
Saint Martin,3973,56,,1399,,39622
Caribbean Netherlands,3156,22,,2996,,26577
Turks and Caicos Islands,3141,25,,3072,,39476
British Virgin Islands,2842,39,,,,30523
Greenland,1876,,,1606,,56913
Saint Barthelemy,1603,6,,,,9921
Anguilla,1592,4,,1521,,15197
Wallis and Futuna,454,7,9,438,6016,10953
Saint Pierre and Miquelon,96,,,74,,5753
Falkland Islands,83,,,,,3627
Montserrat,44,1,,42,,4996
Western Sahara,10,1,,8,,618604
Saint Helena,2,,,2,4361,6103
Micronesia,1,,,1,,116771
China,99856,4636,1431,93789,1225000000,1439323776
