region,confirmed,deceased,active,recovered,vaccinated,population
World,271708207,5336398,23614347,242445295,4420665981,7868805230
Afghanistan,157660,7329,8311,142020,4397449,40198051
Albania,204301,3144,5528,195629,1105501,2873237
Algeria,213288,6155,60431,146702,6875003,44998404
Andorra,20136,134,2117,17885,56095,77444
Angola,65431,1737,175,63519,7003795,34345501
Antigua and Barbuda,4177,117,27,4033,61921,99105
Argentina,5366522,116826,29278,5220418,37364854,45797238
Armenia,342765,7845,8616,326304,869750,2971279
Austria,1235063,13282,61583,1160198,6483905,9080945
Azerbaijan,605920,8123,19041,578756,5120575,10271717
The Bahamas,22907,708,,21659,,398693
Bahrain,278149,1394,348,276407,1193306,1787118
Bangladesh,1580005,28034,7307,1544664,86522300,167068756
Barbados,26949,253,2004,24692,154524,287886
Belarus,676512,5305,4166,667041,3812391,9444812
Belize,31152,586,704,29862,229107,408087
Benin,24897,161,190,24546,1087430,12582890
Bhutan,2649,3,17,2629,589482,783928
Bolivia,554999,19330,30165,505504,5248232,11903849
Bosnia and Herzegovina,282587,13028,77341,192218,833233,3251197
Botswana,197644,2424,2768,192452,955135,2420411
Brunei,15363,98,238,15027,404959,443554
Bulgaria,718651,29764,95813,593074,1786530,6872517
Burkina Faso,16672,296,450,15926,442769,21732940
Myanmar,527274,19193,4291,503790,16849172,54938894
Burundi,20886,38,20075,773,2812,12403257
Cape Verde,38509,351,83,38075,299770,564743
Cambodia,120382,2992,656,116734,14207542,17054384
Cameroon,107662,1836,519,105307,793725,27502602
Central African Republic,11961,101,5001,6859,375096,4951452
Chad,5701,181,646,4874,205259,17108013
Hong Kong,12496,213,103,12180,4813885,7585198
Macao,77,,,77,488871,662167
Comoros,4572,151,,4389,282378,896432
Congo,19066,359,6286,12421,550142,5714747
DR Congo,59851,1118,,50930,,93501315
Costa Rica,568305,7333,1690,559282,3922190,5161580
Ivory Coast,61907,706,,60997,,27324043
Croatia,657726,11722,21396,624608,2229626,4068519
Cuba,963751,8313,369,955069,10218940,11316583
Cyprus,142228,612,17246,124370,633930,1220107
Czechia,2350338,34697,242939,2072702,6745411,10737809
Denmark,570502,3030,83094,484378,4676049,5821796
Djibouti,13514,189,26,13299,82858,1008826
Dominica,6257,42,395,5820,29064,72245
Dominican Republic,410720,4220,1558,404942,6912228,11005663
Ecuador,533457,33561,56016,443880,13915136,18031368
Egypt,370819,21155,40835,308829,29529394,105130877
