region,confirmed,deceased,active,recovered,vaccinated,population
World,278495058,5400287,25085742,247382350,4492750427,7870648146
United States,52788451,834455,10989003,40964993,241583543,333865970
India,34772657,478863,84868,34208926,831763875,1400013310
Brazil,22226573,618228,194027,21414318,165836442,214788179
United Kingdom,11767262,147720,1658173,9961369,51577782,68412092
Russia,10318650,301271,878213,9139166,72307296,146226276
Turkey,9247606,81125,286431,8880050,56731257,85677346
France,8889636,122295,1066069,7701272,52599505,65486626
Germany,6954549,110636,851113,5992800,61201400,84179211
Iran,6179817,131262,29212,6019343,59126764,85578003
Spain,,,,,39270983,46781501
Italy,5517054,136245,430029,4950780,48026808,60330623
Argentina,5428957,116979,63296,5248682,37730569,45807426
Colombia,5115194,129640,31912,4953642,37866509,51682656
Indonesia,4261208,144042,4642,4112524,153503685,277788835
Poland,4017420,93445,423405,3500570,21458498,37785440
Mexico,3940401,298359,348131,3293911,81901507,130930373
Ukraine,3630391,94184,142787,3393420,14500518,43345954
South Africa,3374262,90662,188698,3094902,18768087,60411197
Netherlands,3028137,20621,539853,2467663,12525124,17190813
Philippines,2837903,50981,9251,2777671,56110301,111731346
Malaysia,2731713,31265,47863,2652585,25956337,32977399
Czechia,2435208,35585,184862,2214761,6797317,10738296
Peru,2269497,202375,,,24086191,33648965
Thailand,2202001,21501,38314,2142186,50438629,70058404
Iraq,2091834,24108,5945,2061781,8271151,41551946
Belgium,2017154,27992,435557,1553605,8891981,11664037
Canada,1945754,30131,101342,1814281,31579905,38230215
Romania,1801081,58463,12904,1729714,7888314,19048269
Chile,1796232,38954,49113,1708165,17188932,19358220
Japan,1730602,18383,1542,1710677,100249868,125905043
Vietnam,1604712,30531,389753,1184428,75697403,98630273
Bangladesh,1582368,28054,7650,1546664,87546674,167109072
Israel,1360919,8241,9960,1342718,6481676,9326000
Pakistan,1292406,28894,9408,1254104,90529877,227211952
Serbia,1287202,12518,23509,1251175,3291994,8685428
Sweden,1273313,15229,78729,1179355,7725972,10192160
Austria,1258377,13595,33470,1211312,6570816,9082206
Portugal,1253094,18840,84643,1149611,9180041,10152831
