region,confirmed,deceased,vaccinated,population
World,265825970,5266612,4328317036,7866757551
United States,49934791,808608,235297964,333765397
India,34633255,470620,799745524,1399309544
Brazil,22138247,615606,164543599,214709861
United Kingdom,10421104,145551,51068961,68393618
Russia,9801613,281278,67991712,146226276
Turkey,8881760,77645,56360977,85630260
France,7875012,119506,52031795,65479150
Germany,6143856,103530,59764976,84165340
Iran,6134465,130200,57385036,85522195
Argentina,5339382,116643,36971042,45785918
Italy,5094072,134152,47366068,60335220
Colombia,5078987,128733,38148662,51654519
Indonesia,4257685,143867,142432347,277638777
Mexico,3900293,295154,77366309,130860095
Poland,3671421,85675,20968528,37787584
Ukraine,3497477,88280,13725903,43359522
South Africa,3020569,89965,17660930,60372382
Philippines,2834775,49386,40517967,111655624
Netherlands,2728876,19642,13250117,17188851
Malaysia,2654474,30574,25846528,32955873
Peru,2242646,201360,22542649,33625115
Czechia,2240721,33665,6693322,10737268
Thailand,2141241,20942,48525815,70049337
Iraq,2083889,23873,7545538,41504977
Belgium,1827467,27167,8845136,11661424
Canada,1805070,29766,30755662,38213055
Romania,1786036,57099,7766483,19054895
Chile,1770620,38465,16898857,19349711
Japan,1727828,18364,99861506,125925054
Bangladesh,1577443,28001,63639683,167023961
Israel,1345581,8204,6363342,9326000
Vietnam,1309092,26260,73155299,98584854
Pakistan,1286825,28767,81076341,226988925
Serbia,1262419,11876,3272681,8687247
Sweden,1212145,15136,7611128,10188897
Austria,1198478,12796,6399394,9079544
Portugal,1163001,18514,9053901,10154367
Hungary,1134869,35122,6145984,9625418
Switzerland,1039730,11612,5855591,8744699
Kazakhstan,975150,12769,8771142,19096213
Jordan,971401,11715,4160104,10347257
Cuba,963002,8307,10188084,11316771
Greece,962695,18516,7111208,10350540
Morocco,950501,14787,24517118,37532940
Georgia,865293,12344,1210371,3978262
Nepal,822592,11541,9879648,29881825
United Arab Emirates,742328,2148,9801529,10060396
Slovakia,729475,14826,2651783,5463407
Tunisia,718278,25398,6140882,11994571
Bulgaria,702454,28805,1786530,6873938
Lebanon,677147,8765,1945230,6781912
Belarus,663813,5162,3618830,9444897
Croatia,631037,11218,2206995,4069207
Guatemala,619542,15980,6080534,18386681
Azerbaijan,594994,7947,5095524,10269223
Ireland,589094,5707,3863948,5016257
Sri Lanka,567522,14461,15935634,21541060
Costa Rica,567383,7312,3887480,5160311
Saudi Arabia,549877,8842,24665104,35584863
Bolivia,542859,19215,5109553,11899498
Ecuador,526870,33250,13796237,18024044
Myanmar,524122,19135,16485315,54928945
Denmark,506085,2939,4580168,5821240
Lithuania,479839,6847,1878398,2668170
Panama,478831,7373,3010829,4411353
South Korea,473034,3852,42618296,51332010
Paraguay,463315,16477,3395632,7257171
Venezuela,434133,5186,16415684,28321197
Palestine,431588,4546,1910794,5269899
Slovenia,430064,5303,1234563,2079345
Kuwait,413464,2465,3304574,4360391
Dominican Republic,408245,4212,6889377,11002693
Uruguay,400821,6132,2751833,3490868
Mongolia,383543,2016,2261462,3353359
Honduras,378251,10413,4395843,10128610
Libya,374989,5493,1710472,7004191
Ethiopia,372090,6794,8317492,119008669
Moldova,366162,9208,948882,4020611
Egypt,362260,20682,25927931,105078062
Armenia,340723,7683,799403,2971129
Oman,304603,4113,3310409,5291097
Norway,282918,1093,4245806,5481569
Bahrain,277803,1394,1189949,1785492
Bosnia and Herzegovina,277228,12687,833233,3251752
Singapore,268659,746,5071148,5915821
Latvia,257329,4267,1281510,1856489
Kenya,255408,5335,4891490,55454327
Qatar,244223,611,2360308,2807805
Estonia,224993,1823,830624,1327805
Australia,217843,2050,20099492,25920795
North Macedonia,217025,7631,885888,2083252
Nigeria,214567,2980,6524582,213397144
