region,confirmed,deceased,active,recovered,vaccinated,population
World,279345816,5409044,25419343,247890750,4515269988,7870852917
United States,52986307,837671,11154386,40994250,241520561,333871263
India,34776416,479218,81221,34215977,833265701,1400050350
Brazil,22230737,618429,197990,21414318,165894312,214792301
United Kingdom,11891292,147857,1782066,9961369,51617091,68413065
Russia,10343353,302269,860705,9180379,72477644,146226276
Turkey,9266516,81258,284857,8900401,56753275,85679824
France,8983760,122462,1108748,7752550,52644641,65487020
Germany,6982228,110908,822520,6048800,61313890,84179941
Iran,6181784,131306,28328,6022150,59126764,85580941
Spain,,,,,39405157,46781550
Italy,5567644,136386,460674,4970584,48083510,60330381
Argentina,5445236,117008,74523,5253705,37803393,45808558
Colombia,5118254,129686,33029,4955539,37866509,51684137
Indonesia,4261412,144047,4659,4112706,154494115,277796733
Poland,4032796,94041,415939,3522816,21497412,37785327
Mexico,3947284,298670,351193,3297421,81904720,130934071
Ukraine,3637038,94432,134312,3408294,14537064,43345240
South Africa,3393109,90743,207464,3094902,27733331,60413240
Netherlands,3040560,20661,528607,2491292,12525124,17190916
Philippines,2838032,51050,9321,2777661,56110301,111735331
Malaysia,2735241,31290,46877,2657074,25960353,32978532
Czechia,2442600,35640,185409,2221551,6800261,10738350
Peru,2271549,202424,,,24086191,33650220
Thailand,2207438,21558,37123,2148757,50768299,70058881
Iraq,2092156,24115,5794,2062247,8390446,41554418
Belgium,2030878,28110,407275,1595493,8895881,11664174
Canada,1957060,30139,109969,1816952,31615049,38231119
Romania,1801798,58507,12297,1730994,7930488,19047921
Chile,1797631,38984,48532,1710115,17188932,19358668
Japan,1730905,18386,1697,1710822,100262404,125903990
Vietnam,1620869,30766,374842,1215261,75697403,98632664
Bangladesh,1582710,28055,7699,1546956,87546674,167113551
Israel,1362270,8241,11088,1342941,6490502,9326000
Pakistan,1292728,28898,9529,1254301,90529877,227223691
Serbia,1288395,12544,23141,1252710,3302585,8685332
Sweden,1273313,15229,76622,1181462,7737026,10192332
Portugal,1266037,18851,91947,1155239,9180041,10152750
Austria,1260751,13617,32167,1214967,6580459,9082346
Hungary,1237330,38307,127251,1071772,6245773,9624083
Switzerland,1221424,12128,250232,959064,5956369,8748153
Greece,1064243,20292,61272,982679,7400923,10347772
Jordan,1050257,12403,46829,991025,4301730,10352788
Kazakhstan,985016,12960,16010,956046,8923124,19108483
Cuba,964482,8317,424,955741,10346041,11316395
Morocco,954853,14825,2658,937370,24610902,37556840
Georgia,920617,13367,30996,876254,1324234,3977846
Nepal,826901,11582,5048,810271,12251183,29910499
Slovakia,824172,16290,60060,747822,2711634,5463552
United Arab Emirates,747909,2155,5632,740122,9890417,10066924
Bulgaria,733139,30476,97317,605346,1904143,6871096
Tunisia,722443,25516,2013,694914,6450802,12001325
Lebanon,709242,9012,48056,652174,2192675,6780250
Ireland,691557,5890,149411,536256,3886352,5019270
Belarus,691072,5466,2203,683403,4356041,9444728
Croatia,689831,12232,21844,655755,2249190,4067831
Denmark,675844,3187,133050,539607,4781149,5822352
Guatemala,625029,16095,1165,607769,6465447,18404816
Azerbaijan,613618,8269,12521,592828,5150711,10274211
South Korea,602045,5176,106926,489943,43884305,51334413
Sri Lanka,582722,14852,9020,558850,15976157,21545955
Bolivia,573118,19516,36995,516607,5390141,11908201
Costa Rica,568860,7343,1278,560239,3934813,5162850
Saudi Arabia,552081,8869,2585,540627,24927717,35614510
Ecuador,540122,33641,62601,443880,14039879,18038692
Myanmar,529327,19248,3315,506764,18829259,54948844
Lithuania,509497,7249,24880,477368,1907560,2666110
Panama,485512,7406,5232,472874,3023086,4415067
Paraguay,465130,16598,1056,447476,3444261,7261958
Slovenia,454298,5529,16596,432173,1245897,2079360
Venezuela,442999,5312,6146,431541,18393519,28316813
Palestine,437574,4619,3931,429024,2053044,5276397
Kuwait,414761,2467,1038,411256,3329713,4363844
Dominican Republic,413191,4234,1942,407015,6932705,11008633
Uruguay,406739,6162,3804,396773,2763826,3491525
Ethiopia,390737,6888,31824,352025,9236950,119164749
Mongolia,388063,2053,72754,313256,2265155,3356246
Libya,384663,5641,6138,372884,1826165,7009298
Egypt,379654,21546,42212,315896,32102167,105183692
Honduras,379073,10430,244860,123783,4941269,10137225
Moldova,374120,9589,4613,359918,989897,4020101
Norway,370134,1257,279925,88952,4279012,5483882
Armenia,344261,7939,6339,329983,903661,2971430
Oman,304984,4113,636,300235,3121257,5298217
Australia,291743,2188,60291,229264,20397079,25936957
Bosnia and Herzegovina,287276,13269,81789,192218,882641,3250643
Bahrain,279277,1394,1121,276762,1198502,1788743
Kenya,277609,5357,22558,249694,6282631,55519199
Singapore,277307,820,3006,273481,4799168,5918332
Latvia,271106,4494,10314,256298,1307440,1855357
Qatar,247517,614,2441,244462,2360308,2807805
Estonia,235668,1907,13405,220356,839095,1327854
Nigeria,234709,2993,19479,212237,9242736,213677178
Finland,230392,1507,182885,46000,4322726,5553444
Zambia,228932,3691,16309,208932,806611,19143267
North Macedonia,222666,7879,5185,209602,840411,2083248
Algeria,216098,6222,61277,148599,7019879,45020067
Botswana,208994,2427,11088,195479,1131709,2421711
Albania,207221,3187,5201,198833,1126181,2873151
Zimbabwe,202736,4871,42216,155649,4089315,15182461
Uzbekistan,197918,1475,1655,194788,18631018,34185573
Kyrgyzstan,184395,2790,2108,179497,1207893,6683132
Mozambique,170077,1965,16822,151290,7845444,32546872
Montenegro,162364,2386,2338,157640,282182,628184
Afghanistan,157887,7348,5165,145374,4397449,40222064
Cyprus,149580,627,24583,124370,640890,1220347
Namibia,143576,3601,11789,128186,399636,2608839
Ghana,134555,1269,3365,129921,5774413,32030237
Uganda,131981,3274,30532,98175,8354808,47870631
El Salvador,121741,3817,10836,107088,4476802,6534576
Cambodia,120440,3007,588,116845,14237048,17060707
Cameroon,108451,1851,865,105735,806176,27520711
Laos,104373,305,96729,7339,3744740,7431480
Rwanda,103799,1345,56932,45522,7322935,13425891
Luxembourg,98983,907,5917,92159,458702,641016
Maldives,94564,261,1952,92351,396452,554600
Jamaica,92355,2462,25161,64732,708713,2980270
Trinidad and Tobago,88944,2718,16543,69683,706377,1406187
Senegal,74302,1890,138,72274,1328153,17394780
Reunion,71795,401,,65494,,904754
Angola,70221,1746,4512,63963,7423668,34373565
DR Congo,70059,1126,,50930,,93576045
Malawi,69735,2322,7856,59557,1400533,19859147
Eswatini,63953,1272,9595,53086,332743,1177911
Ivory Coast,63392,707,,61204,,27341944
Guadeloupe,56035,750,,2250,,400225
Fiji,52815,697,897,51221,661452,906045
Suriname,51563,1186,1295,49082,260987,594398
Syria,50007,2867,15469,31671,1186091,18127888
Martinique,47300,769,,104,,374835
Madagascar,47295,996,2338,43961,589003,28741148
French Guiana,47229,337,,11254,,310102
French Polynesia,46376,636,,,,283308
Sudan,46100,3298,4510,38292,4016849,45359914
Malta,44761,473,4881,39407,439572,443281
Mauritania,40389,861,599,38929,1117799,4829936
Guyana,39042,1042,731,37269,408266,792162
Cape Verde,38865,351,369,38145,302802,564908
Gabon,38039,286,1532,36221,392898,2303224
Papua New Guinea,36110,589,147,35374,283915,9197213
Belize,31503,592,496,30415,229714,408285
Guinea,30976,389,785,29802,1739338,13658199
Lesotho,27595,665,12127,14803,648817,2167344
Barbados,27486,260,1078,26148,155383,287895
Togo,27405,246,1125,26034,1366662,8565017
Tanzania,26483,734,,,1592897,62243367
Haiti,25950,765,2121,23064,122580,11607861
Benin,24935,161,69,24705,1561336,12591596
Seychelles,24197,131,,23742,82323,99247
Burundi,23657,38,22846,773,4010,12412975
Channel Islands,23627,112,,20939,,176231
The Bahamas,23539,713,,21745,,398796
Somalia,23532,1333,9251,12948,1164923,16547167
Mauritius,23105,762,707,21636,937052,1274888
Iceland,22087,37,2622,19428,287813,344516
Andorra,21730,139,1721,19870,56628,77448
Mayotte,21391,185,,2964,,282527
Mali,19866,652,2022,17192,866523,21110988
Timor-Leste,19833,122,,19704,,1355514
Congo,19490,367,6702,12421,734721,5718469
Curacao,18622,186,,17472,,165085
Nicaragua,17442,211,,4225,4628897,6740983
Aruba,17324,181,,16551,,107436
Tajikistan,17095,124,,16966,3520397,9853765
Burkina Faso,17040,317,473,16250,972376,21748659
Taiwan,16873,850,225,15798,18651286,23880499
Brunei,15429,98,142,15189,405092,443668
South Sudan,14577,135,1725,12717,227262,11387593
New Zealand,13719,49,1548,12122,3971055,5002100
Equatorial Guinea,13623,175,38,13410,249215,1470929
Djibouti,13555,189,48,13318,108945,1009219
Isle of Man,13425,67,,12605,,85698
Saint Lucia,13248,295,140,12813,55509,184867
New Caledonia,12581,280,,12103,,289553
Hong Kong,12556,213,154,12189,4847397,7586858
Central African Republic,11961,101,5001,6859,446712,4953749
Yemen,10109,1982,1125,7002,556652,30795363
The Gambia,10087,342,,9688,,2516796
Cayman Islands,8386,11,,4799,,66862
Gibraltar,8084,100,,7444,,33676
Eritrea,7853,72,,7616,,3618915
San Marino,7526,98,877,6551,24306,34036
Niger,7263,274,110,6879,507223,25497841
Sierra Leone,6659,123,,,747044,8216416
Dominica,6520,44,303,6173,29426,72250
Guinea-Bissau,6462,149,16,6297,389494,2036631
Bermuda,6014,106,,5674,,61938
Grenada,5948,200,69,5679,41064,113294
Liberia,5929,287,107,5535,784838,5233080
Liechtenstein,5854,69,347,5438,26137,38290
Saint Vincent and the Grenadines,5828,81,596,5151,33316,111461
Chad,5701,181,646,4874,285922,17120944
Comoros,5336,153,,4428,282378,896940
Faroe Islands,5115,13,,4626,,49137
Sint Maarten,4774,75,,4598,,43595
Monaco,4670,38,360,4272,26672,39653
Antigua and Barbuda,4216,118,50,4048,62154,99127
Saint Martin,4008,56,,1399,,39640
São Tomé and Príncipe,3744,57,,3676,,225167
Caribbean Netherlands,3254,22,,3134,,26583
Turks and Caicos Islands,3219,26,,3105,,39491
British Virgin Islands,3016,39,,,,30528
Saint Kitts and Nevis,2822,28,23,2771,27523,53755
Bhutan,2659,3,14,2642,589762,784160
Greenland,2249,,,1875,,56916
Anguilla,1646,5,,1605,,15201
Saint Barthelemy,1621,6,,,,9922
Wallis and Futuna,454,7,9,438,6016,10948
Saint Pierre and Miquelon,98,,,78,,5752
Falkland Islands,83,,,,,3629
Macao,77,,,77,491671,662409
Montserrat,45,1,,43,,4996
Vatican City,27,,,27,,804
Solomon Islands,20,,,20,179973,711735
Western Sahara,10,1,,8,,619006
Palau,8,,,8,,18221
Vanuatu,7,1,0,6,102308,317735
Marshall Islands,4,,,4,,59780
Samoa,3,,,3,141424,200362
Saint Helena,2,,,2,4361,6104
Micronesia,1,,,1,,116804
Tonga,1,,,1,73609,107465
China,100871,4636,1881,94354,1225000000,1439323776
