region,confirmed,deceased,active,recovered,vaccinated,population
World,272448315,5345081,23768433,242998779,4443877192,7869010002
Afghanistan,157665,7331,7734,142600,4397449,40200453
Albania,204627,3152,5640,195835,1108572,2873228
Algeria,213533,6165,60470,146898,6875003,45000570
Andorra,20136,134,2117,17885,56095,77445
Angola,65565,1737,237,63591,7003795,34348307
Antigua and Barbuda,4177,117,27,4033,61921,99107
Argentina,5371341,116857,32271,5222213,37427729,45798370
Armenia,342977,7856,8562,326559,869750,2971295
Austria,1239287,13333,58141,1167813,6495691,9081085
Azerbaijan,607076,8137,18444,580495,5124934,10271967
The Bahamas,22950,708,,21661,,398704
Bahrain,278202,1394,374,276434,1193660,1787280
Bangladesh,1580302,28038,7331,1544933,87183515,167073236
Barbados,27027,254,1695,25078,154524,287887
Belarus,678277,5322,3887,669068,3812391,9444804
Belize,31187,586,636,29965,229107,408107
Benin,24907,161,200,24546,1087430,12583761
Bhutan,2652,3,20,2629,589482,783951
Bolivia,556765,19355,30868,506542,5248232,11904284
Bosnia and Herzegovina,283109,13064,77827,192218,833233,3251142
Botswana,197644,2424,2768,192452,955135,2420541
Brunei,15372,98,228,15046,405092,443565
Bulgaria,720376,29847,95166,595363,1904143,6872374
Burkina Faso,16672,296,450,15926,442769,21734512
Myanmar,527503,19197,4128,504178,16849172,54939889
Burundi,20886,38,20075,773,2812,12404229
Cape Verde,38527,351,92,38084,299770,564760
Cambodia,120390,2995,649,116746,14207542,17055016
Cameroon,107662,1836,519,105307,793725,27504413
Central African Republic,11961,101,5001,6859,375096,4951682
Chad,5701,181,646,4874,205259,17109306
Hong Kong,12497,213,104,12180,4817469,7585364
Macao,77,,,77,488871,662191
Comoros,4576,151,,4390,282378,896483
Congo,19066,359,6286,12421,550142,5715119
DR Congo,61932,1118,,50930,,93508788
Costa Rica,568305,7333,1690,559282,3922190,5161707
Ivory Coast,61943,706,,61032,,27325834
Croatia,662397,11779,23709,626909,2232429,4068450
Cuba,963813,8313,366,955134,10218940,11316564
Cyprus,142878,614,17894,124370,633930,1220131
Czechia,2367076,34813,240426,2091837,6751660,10737863
Denmark,579275,3039,86745,489491,4683236,5821852
Djibouti,13526,189,33,13304,82858,1008865
Dominica,6286,42,370,5874,29064,72246
Dominican Republic,410926,4220,1628,405078,6914602,11005960
Ecuador,534176,33570,56726,443880,13915136,18032100
Egypt,371698,21203,41141,309354,29529394,105136158
El Salvador,121267,3800,12478,104989,4457489,6533773
Equatorial Guinea,13617,175,36,13406,247933,1469790
Eritrea,7686,65,,7490,,3617708
Estonia,229869,1869,13335,214665,834888,1327832
Eswatini,56200,1254,8699,46247,302675,1177616
Ethiopia,373860,6846,16423,350591,9006413,119094513
Fiji,52604,697,745,51162,659250,905885
Finland,209258,1446,161812,46000,4322490,5553233
France,8399846,120983,882949,7395914,52322541,65483478
Gabon,37681,285,2306,35090,219775,2301929
The Gambia,10045,342,,9645,,2515120
Georgia,898079,12879,40325,844875,1278845,3978033
Ghana,131840,1253,927,129660,2651463,32014255
Greece,1017445,19553,59815,938077,7275860,10349018
Grenada,5915,200,50,5665,40930,113281
Guatemala,622866,16057,757,606052,6269844,18396655
Guinea,30814,388,650,29776,1687180,13649408
Guinea-Bissau,6452,149,18,6285,385186,2035484
Guyana,38684,1025,792,36867,406072,792069
Haiti,25865,762,2827,22276,118222,11604444
Vatican City,27,,,27,,804
Honduras,378642,10424,245627,122591,4927085,10133349
Hungary,1208020,37232,165202,1005586,6194221,9624684
Iceland,19861,36,1409,18416,287025,344462
Indonesia,4259644,143969,4864,4110811,148344215,277725653
