region,confirmed,deceased,active,recovered,vaccinated,population
World,276565678,5384612,24433060,246250456,4484294593,7870238614
Afghanistan,157816,7335,5187,145294,4397449,40214860
Albania,206273,3178,5165,197930,1119430,2873177
Algeria,215145,6198,60926,148021,7019879,45013568
Andorra,21062,137,1761,19164,56628,77447
Angola,66566,1738,949,63879,7246240,34365146
Antigua and Barbuda,4198,117,42,4039,62154,99121
Argentina,5404380,116953,46915,5240512,37668062,45805162
Armenia,343845,7914,6803,329128,869750,2971385
Austria,1253961,13538,38964,1201459,6559466,9081926
Azerbaijan,611557,8222,14545,588790,5140918,10273463
The Bahamas,23135,713,,21708,,398765
Bahrain,278714,1394,679,276641,1196261,1788255
Bangladesh,1581634,28051,7512,1546071,87546674,167100113
Barbados,27218,256,1309,25653,155242,287892
Belarus,686294,5415,3065,677814,4064247,9444753
Belize,31294,591,466,30237,229714,408225
Benin,24907,161,41,24705,1363471,12588984
Bhutan,2658,3,13,2642,589482,784090
Bolivia,566591,19459,34409,512723,5390141,11906895
Bosnia and Herzegovina,285724,13204,80302,192218,882641,3250809
Botswana,204701,2425,8822,193454,1125993,2421321
Brunei,15418,98,170,15150,405092,443634
Bulgaria,728677,30303,95868,602506,1904143,6871522
Burkina Faso,17040,317,473,16250,442769,21743943
Myanmar,528639,19230,3313,506096,16849172,54945859
Burundi,22639,38,21828,773,4010,12410060
Cape Verde,38619,351,141,38127,302802,564859
Cambodia,120427,3005,607,116815,14225712,17058810
Cameroon,108026,1841,450,105735,806176,27515278
Central African Republic,11961,101,5001,6859,446712,4953060
Chad,5701,181,646,4874,285922,17117064
Hong Kong,12542,213,145,12184,4837737,7586360
Macao,77,,,77,490865,662336
Comoros,4677,152,,4408,282378,896787
Congo,19490,367,6702,12421,734721,5717352
DR Congo,67298,1126,,50930,,93553626
Costa Rica,568860,7343,1278,560239,3922190,5162469
Ivory Coast,62336,706,,61149,,27336574
Croatia,678533,12090,19477,646966,2244758,4068038
Cuba,964237,8316,403,955518,10316552,11316451
Cyprus,146802,623,21809,124370,640166,1220275
Czechia,2415624,35401,189378,2190845,6784646,10738188
Denmark,640413,3101,117815,519497,4764091,5822185
Djibouti,13546,189,41,13316,108945,1009101
Dominica,6430,44,401,5985,29200,72249
Dominican Republic,412022,4223,1290,406509,6925553,11007742
Ecuador,538218,33624,60714,443880,14039879,18036495
Egypt,377081,21457,41842,313782,31543226,105167847
El Salvador,121623,3810,12016,105797,4465139,6534309
Equatorial Guinea,13618,175,36,13407,249215,1470549
Eritrea,7807,70,,7580,,3618512
Estonia,233367,1893,13770,217704,837563,1327847
Eswatini,62094,1265,10030,50799,326455,1177813
Ethiopia,379379,6877,21334,351168,9165615,119141337
Fiji,52651,697,749,51205,661452,905991
Finland,221292,1495,173797,46000,4322687,5553374
France,8713756,121946,988413,7603397,52551832,65485839
Gabon,37830,286,1651,35893,392898,2302792
The Gambia,10051,342,,9647,,2516237
Georgia,913738,13169,34230,866339,1311371,3977908
Ghana,132609,1261,1602,129746,2651463,32024909
Greece,1044301,20055,54408,969838,7362308,10348187
Grenada,5921,200,42,5679,41064,113289
Guatemala,623795,16077,704,607014,6388361,18402096
Guinea,30814,388,650,29776,1687180,13655269
Guinea-Bissau,6456,149,18,6289,389157,2036248
Guyana,38926,1039,714,37173,406072,792131
Haiti,25923,765,2370,22788,120569,11606722
Vatican City,27,,,27,,804
Honduras,378843,10428,244632,123783,4927085,10135933
Hungary,1230385,38028,138069,1054288,6232575,9624283
