region,confirmed,deceased,active,recovered,vaccinated,population
World,277478586,5392723,24708731,246818041,4488121640,7870443383
United States,52506200,832939,10768577,40904684,241132288,333860677
India,34763305,478468,82871,34201966,831142523,1399976270
Brazil,22222928,618128,190482,21414318,165554570,214784057
United Kingdom,11647473,147573,1577420,9922480,51537827,68411120
Russia,10292983,300269,895193,9097521,72286409,146226276
Turkey,9228835,80957,289433,8858445,56708402,85674867
France,8798028,122116,1024328,7651584,52551832,65486233
Germany,6915353,110234,871719,5933400,61091561,84178481
Iran,6177885,131211,30350,6016324,59126764,85575066
Spain,,,,,39100658,46781452
Italy,5472469,136077,402729,4933663,47994929,60330865
Argentina,5415501,116964,55039,5243498,37668062,45806294
Colombia,5112719,129586,31120,4952013,37866509,51681176
Indonesia,4261072,144034,4746,4112292,152596517,277780937
Poland,4000270,92829,423089,3484352,21424563,37785553
Mexico,3937082,298161,346815,3292106,81896526,130926674
Ukraine,3623079,93909,152271,3376899,14461447,43346668
South Africa,3353106,90587,210120,3052399,18674488,60409155
Netherlands,3014805,20581,549470,2444754,12519077,17190710
Philippines,2837784,50916,9238,2777630,56110301,111727361
Malaysia,2728203,31221,49395,2647587,25952011,32976266
Czechia,2427478,35494,184716,2207268,6791575,10738242
Peru,2267715,202338,,,23860076,33647710
Thailand,2199061,21471,38202,2139388,50438629,70057927
Iraq,2091522,24095,6068,2061359,8271151,41549474
Belgium,2017154,27992,435557,1553605,8888630,11663899
Canada,1924207,30113,84690,1809404,31543937,38229312
Romania,1800306,58382,13289,1728635,7888314,19048618
Chile,1794750,38900,49439,1706411,17169753,19357772
Japan,1730335,18381,1373,1710581,100227516,125906096
Vietnam,1588335,30251,384600,1173484,75697403,98627883
Bangladesh,1581986,28052,7582,1546352,87546674,167104592
Israel,1359174,8239,9037,1341898,6471678,9326000
Pakistan,1292047,28892,9561,1253594,89792114,227200214
Serbia,1286025,12488,25163,1248374,3291994,8685524
Sweden,1268254,15224,75723,1177307,7725972,10191988
Austria,1256230,13567,36139,1206524,6559466,9082066
Portugal,1242545,18823,78059,1145663,9059512,10152912
Hungary,1233744,38167,135217,1060360,6239410,9624216
Switzerland,1210036,12072,255989,941975,5943916,8747807
Greece,1049936,20126,54964,974846,7374124,10348049
Jordan,1045714,12329,52375,981010,4287150,10352235
Kazakhstan,984079,12942,16365,954772,8907254,19107256
Cuba,964317,8317,412,955588,10316552,11316433
Morocco,953724,14817,1947,936960,24592087,37554450
Georgia,916477,13221,33845,869411,1318493,3977887
Nepal,826423,11579,5185,809659,10431659,29907631
Slovakia,816102,16198,67064,732840,2706104,5463537
United Arab Emirates,745555,2154,4124,739277,9890441,10066271
