region,confirmed,deceased,vaccinated,population
World,268390355,5299219,4359248622,7867576622
United States,50422410,813904,237087380,333786570
India,34666241,474111,807755550,1399457705
Brazil,22167781,616298,164800426,214726349
United Kingdom,10660981,146135,51161757,68397507
Russia,9925806,286004,68774204,146226276
Turkey,8964711,78407,56445351,85640173
France,8048931,120032,52155768,65480724
Germany,6355888,105010,60028427,84168260
Iran,6147872,130524,58094169,85533945
Argentina,5348123,116708,37157341,45790446
Italy,5164780,134551,47501706,60334252
Colombia,5086381,128929,38823710,51660442
Indonesia,4258560,143918,143794042,277670368
Mexico,3908534,295893,78816099,130874890
Poland,3760048,87357,21081218,37787133
Ukraine,3532357,89901,13974698,43356666
South Africa,3071064,90038,18053081,60380554
Philippines,2835996,49936,40517967,111671566
Netherlands,2828655,19919,13250117,17189264
Malaysia,2673019,30746,25865614,32960404
Czechia,2298441,34129,6720593,10737484
Peru,2248447,201490,22946103,33630136
Thailand,2156587,21082,49223323,70051246
Iraq,2086702,23943,7691071,41514865
Belgium,1898498,27416,8859951,11661974
Canada,1818742,29852,31043333,38216668
Romania,1790571,57434,7766483,19053500
Chile,1778370,38600,16927922,19351503
Japan,1728237,18369,100017298,125920841
Bangladesh,1578550,28016,65484710,167041879
Vietnam,1367433,27186,73899767,98594416
Israel,1348486,8210,6389878,9326000
Pakistan,1288053,28803,83180958,227035878
Serbia,1268787,12036,3280630,8686864
Sweden,1226055,15152,7640880,10189584
Austria,1217436,13011,6433003,9080104
Portugal,1181294,18610,9068348,10154044
Hungary,1176038,36263,6171489,9625151
Switzerland,1096476,11736,5888519,8745390
Jordan,993339,11850,4205348,10348364
Greece,984301,18901,7187978,10349987
Kazakhstan,977714,12814,8808127,19098667
Cuba,963347,8311,10198006,11316696
Morocco,950946,14792,24529352,37537720
Georgia,879368,12582,1243023,3978179
Nepal,823554,11549,9879648,29887560
Slovakia,757492,15179,2670394,5463436
United Arab Emirates,742567,2149,9801529,10061701
Tunisia,718866,25413,6213822,11995922
Bulgaria,709537,29279,1786530,6873369
Lebanon,683326,8804,1983881,6781580
Belarus,669631,5227,3618830,9444863
Croatia,644206,11445,2214222,4068932
Guatemala,620853,16008,6155598,18390308
Ireland,606852,5788,3869578,5016860
Azerbaijan,599713,8019,5107205,10270220
Sri Lanka,569928,14533,15948495,21542039
Costa Rica,567824,7324,3904671,5160819
Saudi Arabia,550088,8850,24736637,35590792
Bolivia,547892,19276,5148121,11901239
Denmark,536195,2983,4617441,5821462
Ecuador,530126,33494,13796237,18026974
Myanmar,525403,19157,16485315,54932925
South Korea,496584,4077,42822222,51332490
Lithuania,486224,6920,1885081,2667758
Panama,479901,7381,3013243,4412096
Paraguay,463522,16488,3395632,7258128
Slovenia,436366,5365,1236778,2079348
Venezuela,436178,5216,16415684,28320320
Palestine,432921,4558,1986530,5271199
Kuwait,413588,2466,3304574,4361081
Dominican Republic,409232,4212,6898664,11003881
Uruguay,401640,6138,2754813,3491000
Mongolia,384626,2026,2262343,3353936
Honduras,378423,10416,4927085,10130333
Libya,376873,5529,1737773,7005213
Ethiopia,372588,6816,8774383,119039885
Moldova,367948,9293,948882,4020509
Egypt,365831,20877,27299203,105099188
Armenia,341768,7747,835816,2971189
Oman,304679,4113,3310409,5292521
Norway,300013,1134,4250356,5482032
Bosnia and Herzegovina,280469,12882,833233,3251530
Bahrain,277935,1394,1191497,1786143
Singapore,271297,774,5071148,5916324
Latvia,260008,4349,1288031,1856263
Kenya,255652,5337,5078363,55467301
Qatar,244867,611,2360308,2807805
Estonia,226858,1838,832319,1327815
Australia,223914,2082,20161524,25924027
North Macedonia,218194,7688,885888,2083251
Nigeria,215164,2980,7131832,213453150
Algeria,212047,6122,6875003,44985406
Zambia,210562,3668,806611,19120672
Albania,202641,3126,1090591,2873288
Finland,199257,1406,4305815,5553069
Botswana,195552,2420,921104,2419631
Uzbekistan,195098,1428,18056727,34164359
Kyrgyzstan,183810,2764,1152114,6678423
Montenegro,159034,2336,278394,628180
Afghanistan,157585,7321,4397449,40183644
Mozambique,152326,1941,6685501,32508443
Zimbabwe,150628,4720,3908712,15172999
Cyprus,138733,605,630566,1219964
Ghana,131246,1228,2651463,32001825
Namibia,130230,3575,366698,2606825
Uganda,127796,3263,3838439,47807177
Cambodia,120312,2974,14159169,17050590
El Salvador,119803,3791,4448067,6533148
Cameroon,107549,1823,792208,27491736
Rwanda,100464,1344,5987745,13411813
China,99454,4636,1225000000,1439323776
Maldives,92629,255,396004,554183
Luxembourg,92574,889,449972,640570
Jamaica,91578,2415,688311,2979707
Laos,84503,224,3744740,7426863
Trinidad and Tobago,77482,2320,696107,1405989
Senegal,74054,1886,1328153,17375424
Angola,65332,1735,6737721,34328662
Reunion,63863,391,,904475
Malawi,62053,2307,1209064,19837466
Ivory Coast,61857,706,,27313303
DR Congo,59175,1113,,93456477
Guadeloupe,55284,748,,400222
Fiji,52567,697,655857,905761
Kosovo,51144,1332,862340,
Suriname,51124,1175,259208,594169
Eswatini,49253,1248,290582,1177386
Syria,48901,2793,890837,18109249
French Polynesia,46332,636,,283237
French Guiana,46304,331,,309762
Martinique,45501,718,,374847
Madagascar,44800,972,589003,28709926
Sudan,44406,3201,1154253,45315039
Malta,40269,468,436486,443230
Mauritania,39669,844,1088628,4824575
Cape Verde,38470,351,299770,564645
Guyana,38333,1009,404122,791996
Gabon,37551,281,186639,2300922
Papua New Guinea,35835,573,269366,9189793
Belize,30930,585,228517,407969
Guinea,30798,388,1680365,13642570
Barbados,26433,244,154081,287880
Togo,26350,243,1281856,8556512
Tanzania,26309,734,1592897,62168691
Haiti,25691,754,118222,11601786
Benin,24863,161,774881,12577667
Seychelles,23806,129,81937,99220
Somalia,23051,1331,589128,16527708
The Bahamas,22846,705,,398632
Mauritius,22310,455,916524,1274796
Lesotho,21838,663,581857,2166602
Mayotte,21043,185,,282238
Burundi,20523,38,1834,12397426
Channel Islands,19900,107,,176161
Timor-Leste,19829,122,,1354415
Congo,19066,359,521700,5712513
Iceland,19052,35,286323,344419
Andorra,18815,133,54999,77442
Mali,18253,621,798505,21085386
Curacao,17517,180,,165056
Nicaragua,17328,210,4338241,6737538
Tajikistan,17095,124,3024020,9844377
Taiwan,16704,848,18355174,23878620
Aruba,16505,176,,107416
Burkina Faso,16334,290,442769,21723508
Brunei,15301,98,404557,443485
Equatorial Guinea,13599,175,247933,1468903
Djibouti,13509,188,78388,1008591
Saint Lucia,13067,283,54930,184831
South Sudan,12842,133,185148,11381858
New Zealand,12621,44,3939753,5002100
Hong Kong,12479,213,4791894,7584202
New Caledonia,12343,280,,289433
Isle of Man,12230,66,,85678
Central African Republic,11742,101,375096,4950074
Yemen,10047,1956,556652,30766580
The Gambia,9998,342,,2513817
Cayman Islands,7794,9,,66828
Eritrea,7533,62,,3616769
Gibraltar,7436,100,,33677
Niger,7119,265,507223,25459301
Guinea-Bissau,6445,149,368424,2034592
Sierra Leone,6405,121,703231,8209312
San Marino,6217,94,25455,34033
Dominica,6176,42,28898,72242
Grenada,5910,200,40561,113271
Liberia,5832,287,506647,5227869
Bermuda,5760,106,,61948
Chad,5701,181,198522,17100255
Saint Vincent and the Grenadines,5645,76,31993,111445
Liechtenstein,5186,65,25843,38285
Sint Maarten,4617,75,,43574
Comoros,4556,151,281946,896128
Antigua and Barbuda,4151,117,61420,99092
Faroe Islands,4134,13,,49129
Monaco,3979,36,26672,39641
Saint Martin,3973,56,,39611
São Tomé and Príncipe,3733,57,,224989
Turks and Caicos Islands,3114,25,,39468
Caribbean Netherlands,3082,22,,26573
British Virgin Islands,2816,38,,30520
Saint Kitts and Nevis,2792,28,27350,53739
Bhutan,2648,3,589215,783789
Greenland,1746,,,56911
Saint Barthelemy,1603,6,,9920
Anguilla,1469,4,,15195
Wallis and Futuna,454,7,6016,10956
Saint Pierre and Miquelon,91,,,5753
Falkland Islands,83,,,3625
Macao,77,,487082,662022
Montserrat,44,1,,4996
Vatican City,27,,,804
Solomon Islands,20,,161521,710997
Kiribati,,,59492,
Summer Olympics 2020,,,,
Spain,,,38447301,46780761
Western Sahara,10,1,,618362
Palau,8,,,18218
Vanuatu,6,1,96141,317421
Marshall Islands,4,,,59763
Samoa,3,,139865,200305
Saint Helena,2,,4361,6103
Tonga,1,,73296,107412
Micronesia,1,,,116752
