region,confirmed,deceased,active,recovered,vaccinated,population
World,275748125,5376190,24375568,245541910,4476161541,7870033834
Afghanistan,157795,7335,5192,145268,4397449,40212459
Albania,205897,3172,5178,197547,1119430,2873185
Algeria,214835,6190,60816,147829,6875003,45011402
Andorra,21062,137,1761,19164,56628,77446
Angola,66086,1738,526,63822,7246240,34362340
Antigua and Barbuda,4198,117,42,4039,61921,99118
Argentina,5395044,116930,40515,5237599,37621512,45804030
Armenia,343708,7903,7006,328799,869750,2971370
Austria,1251433,13496,41642,1196295,6549154,9081786
Azerbaijan,610895,8208,15349,587338,5140913,10273214
The Bahamas,23112,713,,21702,,398755
Bahrain,278600,1394,603,276603,1195481,1788093
Bangladesh,1581343,28050,7486,1545807,87546674,167095633
Barbados,27218,256,1309,25653,155192,287891
Belarus,685462,5399,3018,677045,4064247,9444762
Belize,31294,591,466,30237,229107,408206
Benin,24907,161,41,24705,1363471,12588113
Bhutan,2657,3,13,2641,589482,784067
Bolivia,564747,19440,34047,511260,5328739,11906460
Bosnia and Herzegovina,285133,13188,79727,192218,882641,3250864
Botswana,204701,2425,8822,193454,1125993,2421191
Brunei,15412,98,201,15113,405092,443623
Bulgaria,726794,30239,95827,600728,1904143,6871664
Burkina Faso,16672,296,450,15926,442769,21742371
Myanmar,528380,19226,3393,505761,16849172,54944864
Burundi,21422,38,20611,773,4010,12409088
Cape Verde,38596,351,121,38124,301215,564842
Cambodia,120423,3005,615,116803,14225712,17058178
Cameroon,108026,1841,450,105735,806176,27513467
Central African Republic,11961,101,5001,6859,446712,4952830
Chad,5701,181,646,4874,285922,17115771
Hong Kong,12534,213,137,12184,4834482,7586194
Macao,77,,,77,490428,662312
Comoros,4677,152,,4408,282378,896737
Congo,19179,365,6393,12421,734721,5716980
DR Congo,67298,1126,,50930,,93546153
Costa Rica,568538,7340,1544,559654,3922190,5162342
Ivory Coast,62166,706,,61132,,27334784
Croatia,675730,12043,19570,644117,2242262,4068106
Cuba,964176,8315,399,955462,10299822,11316470
Cyprus,145996,623,21003,124370,636379,1220251
Czechia,2406989,35288,197857,2173844,6778506,10738133
Denmark,627356,3084,111091,513181,4702853,5822129
Djibouti,13538,189,45,13304,108945,1009062
Dominica,6430,44,401,5985,29200,72248
Dominican Republic,411883,4223,1404,406256,6923416,11007445
Ecuador,537032,33597,59555,443880,14016690,18035763
Egypt,376233,21410,41772,313051,30505670,105162566
El Salvador,121530,3809,12154,105567,4465139,6534219
Equatorial Guinea,13618,175,36,13407,249215,1470422
Eritrea,7779,70,,7566,,3618378
Estonia,232506,1888,13262,217356,837087,1327844
Eswatini,61146,1263,9970,49913,320460,1177780
Ethiopia,377056,6872,19125,351059,9165615,119133533
Fiji,52651,697,749,51205,659250,905974
Finland,219250,1493,171757,46000,4322668,5553350
France,8640924,121717,965196,7554011,52430750,65485446
Gabon,37830,286,1651,35893,392898,2302648
The Gambia,10051,342,,9647,,2516051
Georgia,910456,13116,34264,863076,1304199,3977929
Ghana,132132,1257,1174,129701,2651463,32023134
Greece,1037759,19976,53373,964410,7346629,10348326
Grenada,5920,200,42,5678,40930,113288
Guatemala,623795,16077,704,607014,6380600,18401189
Guinea,30814,388,650,29776,1687180,13654292
Guinea-Bissau,6456,149,18,6289,385186,2036121
Guyana,38891,1033,759,37099,406072,792120
Haiti,25923,765,2370,22788,120569,11606342
Vatican City,27,,,27,,804
Honduras,378804,10428,244758,123618,4927085,10135502
Hungary,1228400,37896,141871,1048633,6226399,9624350
Iceland,20890,37,1817,19036,287229,344492
Indonesia,4260677,144013,4829,4111835,151417878,277765142
Iran,6173369,131124,32756,6009489,59126764,85569192
Iraq,2090844,24074,6357,2060413,8111496,41544530
Ireland,661388,5835,136605,518948,3880984,5018667
Israel,1356579,8232,7432,1340915,6454410,9326000
Jamaica,92089,2449,25636,64004,705402,2980129
Jordan,1040243,12268,58476,969499,4275516,10351682
Kazakhstan,983294,12923,17165,953206,8896942,19106029
Kenya,264727,5353,10059,249315,5930258,55506225
South Korea,570417,4776,109515,456126,43493325,51333932
Kosovo,51144,1332,,40989,877188,
Kuwait,414178,2466,594,411118,3320794,4363153
Kyrgyzstan,184218,2784,2123,179311,1174065,6681955
Laos,99396,274,91783,7339,3744740,7430326
Latvia,267465,4454,9729,253282,1300969,1855584
Lebanon,701749,8950,43282,649517,2131113,6780582
Lesotho,25609,665,10811,14133,648817,2167158
Liberia,5844,287,22,5535,784838,5231777
Libya,382341,5607,6167,370567,1796814,7008277
Liechtenstein,5672,68,330,5274,26001,38289
Lithuania,502969,7143,27711,468115,1901565,2666522
Luxembourg,97029,903,5413,90713,454687,640904
Madagascar,47295,996,2338,43961,589003,28733343
Malawi,65223,2313,3749,59161,1355692,19853727
Maldives,94057,260,1965,91832,396358,554496
Mali,19365,646,2500,16219,843144,21104588
Malta,42105,471,2602,39032,437861,443268
Marshall Islands,4,,,4,,59776
Mauritania,40126,855,494,38777,1110533,4828596
Mauritius,22979,680,838,21461,916524,1274865
Moldova,372429,9521,4790,358118,989897,4020203
Monaco,4423,37,283,4103,26672,39650
Mongolia,387116,2045,71815,313256,2264437,3355668
Montenegro,161127,2378,1894,156855,281421,628183
Morocco,952916,14810,1509,936597,24573352,37552060
Mozambique,160457,1952,8021,150484,7241597,32537265
Namibia,139518,3583,8496,127439,387413,2608336
Nepal,825954,11574,5225,809155,10431659,29904764
New Zealand,13495,49,1804,11642,3964319,5002100
Nicaragua,17391,210,,4225,4628897,6740121
Niger,7214,272,63,6879,507223,25488206
Nigeria,225255,2985,10610,211660,8181113,213621171
North Macedonia,221411,7825,5377,208209,836816,2083248
Norway,354465,1207,264306,88952,4269323,5483420
Oman,304874,4113,558,300203,3120714,5296793
Panama,483386,7398,4094,471894,3020735,4414324
Papua New Guinea,36004,589,163,35252,282571,9195358
Paraguay,464703,16583,990,447130,3444261,7261001
Philippines,2837730,50784,9592,2777354,56110301,111719390
Poland,3968450,91514,418066,3458870,21387771,37785779
Portugal,1227854,18796,73700,1135358,9053901,10153073
Qatar,246714,614,2315,243785,2360308,2807805
Romania,1798629,58232,14346,1726051,7888314,19049315
Rwanda,101889,1345,55022,45522,6847793,13422372
Saint Kitts and Nevis,2801,28,8,2765,27484,53751
Saint Lucia,13166,293,93,12780,55346,184858
Saint Vincent and the Grenadines,5758,77,570,5111,33192,111457
Samoa,3,,,3,141356,200348
San Marino,7160,96,862,6202,24282,34036
São Tomé and Príncipe,3735,57,,3676,,225122
Saudi Arabia,550988,8864,1946,540178,24872178,35608580
Senegal,74183,1886,76,72221,1328153,17389941
Serbia,1283490,12432,24454,1246604,3291994,8685715
Seychelles,24047,131,,23574,82117,99240
Sierra Leone,6510,121,4497,1892,747044,8214640
Singapore,276105,815,3537,271753,4744632,5917830
Slovakia,807339,16068,74790,716481,2702052,5463523
Slovenia,449149,5506,18269,425374,1242137,2079357
Solomon Islands,20,,,20,176593,711550
Somalia,23169,1333,8933,12903,892093,16542302
South Africa,3316585,90453,199847,3026285,18674488,60405069
South Sudan,13614,133,867,12614,227262,11386159
Sri Lanka,580209,14771,7817,557621,15967577,21544976
Sudan,45901,3295,6597,36009,4016849,45348695
Suriname,51416,1185,1356,48875,260304,594341
Switzerland,1190370,12017,243952,934401,5929752,8747462
Syria,49806,2850,15690,31266,1002945,18123228
Taiwan,16816,850,215,15751,18602263,23880029
Tajikistan,17095,124,,16966,4374694,9851418
Tanzania,26483,734,,183,1592897,62224698
Thailand,2194053,21408,40097,2132548,50438629,70056972
Timor-Leste,19833,122,,19704,,1355240
Togo,26742,245,506,25991,1349188,8562891
Trinidad and Tobago,85873,2612,15610,67651,703058,1406137
Tunisia,721103,25475,1348,694280,6427305,11999974
Turkey,9189881,80591,299193,8810097,56660272,85669911
Uganda,129319,3274,27992,98053,6525371,47854767
United Arab Emirates,744438,2152,3501,738785,9890441,10065618
Uruguay,404821,6156,2866,395799,2761543,3491393
Uzbekistan,197268,1461,1755,194052,18519076,34180269
Vanuatu,6,1,0,5,100264,317657
Venezuela,441562,5285,6328,429949,18393519,28317690
Vietnam,1555455,29791,415765,1109899,75697403,98623102
Palestine,436702,4607,4063,428032,2020110,5275097
Yemen,10102,1977,1149,6976,556652,30788168
Zambia,217117,3684,6009,207424,806611,19137618
Zimbabwe,195079,4805,49462,140812,4054165,15180096
Kiribati,,,,,59492,
Palau,8,,,8,,18220
Summer Olympics 2020,,,,,,
Tonga,1,,,1,73296,107452
United States,52030506,828611,10522644,40679251,241571084,333850090
India,34747913,477554,83342,34187017,828319595,1399902189
Brazil,22215856,617905,183633,21414318,165417886,214775813
United Kingdom,11453121,147261,1479319,9826541,51463255,68409175
Russia,10241812,298222,928610,9014980,71781421,146226276
Germany,6834446,109243,923803,5801400,60992596,84177021
Spain,,,,,38607797,46781353
Italy,5405360,135778,369703,4899879,47907960,60331349
Colombia,5109022,129487,30731,4948804,37836418,51678214
Mexico,3933386,297858,347654,3287874,81810589,130919276
Ukraine,3610687,93262,178870,3338555,14386385,43348097
Netherlands,2992157,20504,570478,2401175,13292944,17190503
Malaysia,2721544,31135,52218,2638191,25942632,32974000
Peru,2265320,202225,,,23860076,33645199
Belgium,1999764,27895,484347,1487522,8879748,11663624
Canada,1896462,30063,66012,1800387,31443084,38227506
Chile,1792902,38885,52385,1701632,17147406,19356876
Japan,1729964,18379,1269,1710316,100125316,125908203
Pakistan,1291467,28878,9588,1253001,88492869,227176737
Sweden,1250885,15197,60879,1174809,7707313,10191645
Australia,254633,2146,31654,220833,20328607,25933724
Reunion,67237,393,,62026,,904684
Guadeloupe,55441,749,,2250,,400224
French Guiana,46841,337,,11254,,310017
Martinique,46700,749,,104,,374838
French Polynesia,46342,636,,,,283290
Channel Islands,22304,110,,20229,,176213
Mayotte,21180,185,,2964,,282455
Curacao,17807,184,,17391,,165078
Aruba,16848,180,,16401,,107431
Isle of Man,13154,67,,12477,,85693
New Caledonia,12519,280,,12074,,289523
Cayman Islands,8097,9,,4660,,66854
Gibraltar,7843,100,,7363,,33676
Bermuda,5815,106,,5647,,61940
Faroe Islands,4735,13,,4359,,49135
Sint Maarten,4684,75,,4557,,43590
Saint Martin,4008,56,,1399,,39632
Caribbean Netherlands,3204,22,,3069,,26581
Turks and Caicos Islands,3172,25,,3085,,39485
British Virgin Islands,2886,39,,,,30526
Greenland,1969,,,1736,,56915
Saint Barthelemy,1621,6,,,,9921
Anguilla,1592,4,,1521,,15199
Wallis and Futuna,454,7,9,438,6016,10950
Saint Pierre and Miquelon,96,,,74,,5752
Falkland Islands,83,,,,,3628
Montserrat,45,1,,43,,4996
