region,confirmed,deceased,active,recovered,vaccinated,population
World,279829699,5413118,25522214,248267688,4512714853,7871057687
United States,53026765,837779,11187802,41001184,241520561,333876557
India,34781380,479520,78597,34223263,834737784,1400087391
Brazil,22234626,618457,201851,21414318,165894312,214796423
United Kingdom,11891292,147857,1782066,9961369,51649696,68414037
Russia,10368299,303250,842563,9222486,72566482,146226276
Turkey,9286986,81403,283073,8922510,56777545,85682302
France,9088371,122546,1171107,7794718,52684808,65487413
Germany,6999476,111025,801151,6087300,61406913,84180671
Iran,6182905,131348,27346,6024211,59126764,85583878
Spain,,,,,39405157,46781600
Italy,5622431,136530,500466,4985435,48100161,60330139
Argentina,5452419,117020,76319,5259080,37853815,45809690
Colombia,5121668,129729,34605,4957334,38067694,51685618
Indonesia,4261667,144053,4713,4112901,155414524,277804630
Poland,4043585,94311,405446,3543828,21522012,37785215
Mexico,3947284,298670,351193,3297421,81904720,130937770
Ukraine,3642314,94700,123681,3423933,14574569,43344526
South Africa,3407937,90773,214447,3102717,18844628,60415283
Netherlands,3053124,20705,518987,2513432,12525124,17191020
Philippines,2838381,51187,9376,2777818,56110301,111739317
Malaysia,2738401,31315,45591,2661495,25963125,32979665
Czechia,2444648,35692,165392,2243564,6800403,10738404
Peru,2272885,202454,,,24086191,33651475
Thailand,2209970,21580,35862,2152528,50768299,70059358
Iraq,2092312,24122,5542,2062648,8390446,41556890
Belgium,2038111,28149,414469,1595493,8899780,11664312
Canada,1959518,30143,111631,1817744,31637610,38232022
Romania,1802396,58536,11857,1732003,7930488,19047572
Chile,1799125,39013,47356,1712756,17204986,19359116
Japan,1731199,18386,1869,1710944,100262404,125902937
Vietnam,1636455,31007,375764,1229684,76881418,98635054
Bangladesh,1582985,28056,7749,1547180,87546674,167118031
Israel,1363725,8241,11661,1343823,6499367,9326000
Pakistan,1293081,28905,9763,1254413,92086806,227235429
Serbia,1289493,12568,22357,1254568,3302585,8685237
Portugal,1276053,18861,99594,1157598,9180041,10152669
Sweden,1273313,15229,74507,1183577,7737026,10192504
Austria,1262836,13626,30605,1218605,6587888,9082487
