region,confirmed,deceased,active,recovered,vaccinated,population
World,270999492,5327445,23574704,241806901,4412349488,7868600459
Afghanistan,157648,7328,9038,141282,4397449,40195650
Albania,203925,3140,5349,195436,1092316,2873245
Algeria,213058,6151,60388,146519,6875003,44996238
Andorra,19967,134,2292,17541,56095,77444
Angola,65431,1737,175,63519,7003795,34342694
Antigua and Barbuda,4162,117,12,4033,61420,99103
Argentina,5361967,116792,26832,5218343,37313458,45796106
Armenia,342604,7819,8953,325832,835816,2971264
Austria,1232204,13218,64794,1154192,6474217,9080805
Azerbaijan,604998,8104,19759,577135,5120573,10271468
The Bahamas,22907,708,,21659,,398683
Bahrain,278109,1394,341,276374,1192979,1786955
Bangladesh,1579710,28031,7262,1544417,85995854,167064277
Barbados,26864,253,1919,24692,154177,287885
Belarus,675734,5286,4199,666249,3812391,9444821
Belize,31105,586,728,29791,228517,408067
Benin,24897,161,190,24546,1087430,12582020
Bhutan,2649,3,17,2629,589482,783905
Bolivia,553108,19317,29284,504507,5193701,11903414
Bosnia and Herzegovina,281903,12999,76686,192218,833233,3251253
Botswana,196090,2421,1217,192452,955135,2420281
Brunei,15362,98,255,15009,404707,443542
Bulgaria,716647,29688,95835,591124,1786530,6872659
Burkina Faso,16334,290,440,15604,442769,21731368
Myanmar,526911,19188,4290,503433,16849172,54937899
Burundi,20666,38,19855,773,2259,12402285
Cape Verde,38503,351,90,38062,299770,564727
Cambodia,120370,2989,661,116720,14194474,17053752
Cameroon,107549,1823,3010,102716,792208,27500791
Central African Republic,11961,101,5001,6859,375096,4951222
Chad,5701,181,646,4874,198522,17106720
Hong Kong,12491,213,105,12173,4809949,7585032
Macao,77,,,77,488314,662143
Comoros,4569,151,,4374,281946,896382
Congo,19066,359,6286,12421,550142,5714374
DR Congo,59851,1118,,50930,,93493842
Costa Rica,567995,7332,2024,558639,3904671,5161453
Ivory Coast,61907,706,,60997,,27322253
Croatia,654655,11666,21581,621408,2226748,4068588
Cuba,963693,8313,394,954986,10217205,11316602
Cyprus,141566,611,16585,124370,631421,1220083
Czechia,2338402,34551,250545,2053306,6738696,10737755
Denmark,562188,3023,78926,480239,4638584,5821740
Djibouti,13514,189,27,13298,82858,1008787
Dominica,6233,42,423,5768,29064,72245
Dominican Republic,410412,4219,1559,404634,6910906,11005366
Ecuador,533457,33561,56016,443880,13796237,18030636
Egypt,369997,21104,40967,307926,27979218,105125595
El Salvador,121200,3797,12528,104875,4454031,6533595
Equatorial Guinea,13612,175,51,13386,247933,1469536
Eritrea,7656,63,,7440,,3617439
Estonia,228596,1865,13363,213368,833977,1327827
Eswatini,53509,1252,6354,45903,302675,1177550
Ethiopia,373240,6833,15995,350412,8911330,119078905
Fiji,52593,697,739,51157,655857,905850
Finland,205357,1442,157915,46000,4319887,5553186
France,8270728,120431,820037,7330260,52222763,65482691
Gabon,37626,285,2819,34522,186639,2301641
The Gambia,10034,342,,9641,,2514748
Georgia,890813,12777,40773,837263,1264271,3978075
Ghana,131547,1243,738,129566,2651463,32010703
Greece,1006706,19345,61511,925850,7255645,10349295
Grenada,5915,200,59,5656,40561,113278
Guatemala,622237,16048,799,605390,6242145,18394842
Guinea,30813,388,649,29776,1680365,13647454
Guinea-Bissau,6448,149,16,6283,368424,2035229
Guyana,38568,1023,854,36691,404122,792048
Haiti,25865,762,2827,22276,118222,11603684
Vatican City,27,,,27,,804
Honduras,378561,10421,245549,122591,4927085,10132487
Hungary,1198939,36884,170416,991639,6190822,9624817
Iceland,19547,36,1350,18161,286650,344449
Indonesia,4259249,143948,4974,4110327,146875959,277709857
Iran,6157519,130764,51351,5975404,58094169,85548631
Iraq,2088359,23994,8128,2056237,7880958,41527225
Ireland,628306,5788,133663,488855,3871391,5017613
Israel,1350946,8223,5964,1336759,6408565,9326000
Jamaica,91802,2428,25883,63491,695900,2979883
Jordan,1015289,12024,66323,936942,4230296,10349746
Kazakhstan,979975,12864,18354,948757,8852029,19101735
Kenya,256484,5349,2584,248551,5359346,55483519
South Korea,523088,4293,85231,433564,42958480,51333091
Kosovo,51144,1332,,40989,864550,
Kuwait,413760,2466,364,410930,3314143,4361945
Kyrgyzstan,183991,2770,2181,179040,1163928,6679894
Laos,90458,250,82869,7339,3744740,7428306
Latvia,262215,4376,9572,248267,1292423,1855980
Lebanon,690841,8860,39053,642928,2062985,6781164
Lesotho,23102,664,8582,13856,626669,2166834
Liberia,5833,287,11,5535,506647,5229498
Libya,378816,5561,8194,365061,1759338,7006489
Liechtenstein,5401,67,405,4929,25871,38286
Lithuania,491953,6989,28314,456650,1890014,2667243
Luxembourg,94300,895,5337,88068,449972,640710
Madagascar,45794,980,1421,43393,589003,28719683
Malawi,62380,2308,1209,58863,1218720,19844241
Maldives,93246,258,1960,91028,396066,554313
Mali,18627,630,2474,15523,822145,21093387
Malta,40624,470,1809,38345,436968,443246
Marshall Islands,4,,,4,,59768
Mauritania,39834,850,550,38434,1097581,4826250
Mauritius,22651,680,928,21043,916524,1274825
Moldova,370003,9393,5799,354811,948882,4020382
Monaco,4114,36,185,3893,26672,39645
Mongolia,385447,2036,70155,313256,2262825,3354658
Montenegro,159901,2354,1988,155559,279793,628181
Morocco,951544,14798,1388,935358,24547579,37543695
Mozambique,153787,1945,1878,149964,6801754,32520452
Namibia,133090,3578,3404,126108,378182,2607455
Nepal,824535,11557,5824,807154,10431659,29894728
New Zealand,12986,47,6811,6128,3949940,5002100
Nicaragua,17328,210,,4225,4402422,6738614
Niger,7163,269,15,6879,507223,25471345
Nigeria,217866,2983,4807,210076,7350443,213523159
North Macedonia,219490,7740,5539,206211,885888,2083250
Norway,322744,1136,232656,88952,4255967,5482610
Oman,304724,4113,508,300103,3310409,5294301
Panama,481056,7388,3270,470398,3015663,4413024
Papua New Guinea,35956,587,255,35114,269366,9192112
Paraguay,463828,16513,669,446646,3414571,7259325
Philippines,2836803,50341,11083,2775379,40517967,111691492
Poland,3839625,88508,436874,3314243,21171467,37786568
Portugal,1196602,18673,68538,1109391,9053901,10153639
Qatar,245523,613,2427,242483,2360308,2807805
Romania,1793643,57741,18554,1717348,7830179,19051756
Rwanda,100713,1344,53847,45522,6388237,13416213
Saint Kitts and Nevis,2796,28,10,2758,27358,53744
Saint Lucia,13098,283,116,12699,55063,184842
Saint Vincent and the Grenadines,5722,77,534,5111,31993,111450
Samoa,3,,,3,139865,200323
San Marino,6600,94,528,5978,24922,34034
São Tomé and Príncipe,3733,57,,3675,,225045
Saudi Arabia,550304,8855,1895,539554,24786057,35598204
Senegal,74092,1886,46,72160,1334702,17381473
Serbia,1275214,12209,31014,1231991,3284917,8686385
Seychelles,23806,129,,23294,81937,99229
Sierra Leone,6421,121,4408,1892,747044,8211532
Singapore,273701,798,5206,267697,4744632,5916951
Slovakia,777227,15415,104151,657661,2677886,5463472
Slovenia,440629,5425,22159,413045,1238315,2079352
Solomon Islands,20,,,20,161521,711227
Somalia,23074,1333,8924,12817,892093,16533789
South Africa,3180785,90148,177340,2913297,18344024,60390768
South Sudan,12873,133,164,12576,219733,11383650
Sri Lanka,573649,14641,13575,545433,15955985,21543262
Sudan,44877,3244,5624,36009,2782463,45329062
Suriname,51202,1177,20439,29586,259712,594241
Switzerland,1129833,11841,218446,899546,5899051,8746253
Syria,49350,2818,15959,30573,890837,18115074
Taiwan,16742,848,203,15691,18436686,23879207
Tajikistan,17095,124,,16966,3118206,9847311
Tanzania,26309,734,,183,1592897,62192027
Thailand,2172044,21192,49526,2101326,49859697,70053632
Timor-Leste,19829,122,,19703,,1354759
Togo,26416,243,226,25947,1281856,8559170
Trinidad and Tobago,81071,2429,14154,64488,698861,1406051
Tunisia,719662,25437,1291,692934,6257611,11997610
Turkey,9058975,79322,341669,8637984,56517947,85652564
Uganda,128033,3269,26967,97797,6525371,47827006
United Arab Emirates,742894,2151,2776,737967,9890541,10063333
Uruguay,402719,6145,2253,394321,2755353,3491164
Uzbekistan,195958,1440,1841,192677,18249626,34170989
Vanuatu,6,1,0,5,96141,317519
Venezuela,438683,5239,6968,426476,16415684,28319224
Vietnam,1428428,28081,344435,1055912,74832161,98606368
Palestine,434395,4578,3827,425990,1986530,5272823
Yemen,10072,1972,1153,6947,556652,30775575
Zambia,211234,3670,875,206689,806611,19127733
Zimbabwe,167140,4738,32626,129776,3956872,15175956
Kiribati,,,,,59492,
Palau,8,,,8,,18219
Summer Olympics 2020,,,,,,
Tonga,1,,,1,73296,107429
United States,50970263,818982,10061096,40090185,239008166,333813037
India,34703508,475640,97100,34130768,816708250,1399642907
Brazil,22191949,616980,160651,21414318,165093216,214746959
United Kingdom,10873468,146477,1198677,9528314,51254510,68402369
Russia,10046454,290604,985934,8769916,70013461,146226276
Germany,6559716,106591,1017425,5435700,60398417,84171911
Spain,,,,,38488342,46781008
Italy,5238221,134929,290757,4812535,47629038,60333042
Colombia,5095821,129163,30782,4935876,39386770,51667847
Mexico,3918216,296672,348284,3273260,80388496,130893384
Ukraine,3563165,91215,266071,3205879,14131443,43353095
Netherlands,2894209,20140,611098,2262971,13274722,17189780
Malaysia,2695143,30908,57926,2606309,25865614,32966069
Peru,2251027,201650,,,23140831,33636412
Belgium,1929772,27504,480769,1421499,8862250,11662662
Canada,1838880,29931,36936,1772013,31132338,38221184
Chile,1784165,38716,60407,1685042,16903669,19353742
Japan,1728820,18373,959,1709488,100068828,125915575
Pakistan,1289293,28836,9048,1251409,84783151,227094569
Sweden,1229217,15158,45871,1168188,7662893,10190443
Australia,230762,2106,17808,210848,20208813,25928068
Reunion,63863,391,,59685,,904562
Guadeloupe,55284,748,,2250,,400223
French Guiana,46510,333,,11254,,309869
French Polynesia,46334,636,,,,283259
Martinique,45501,718,,104,,374843
Mayotte,21088,185,,2964,,282328
Channel Islands,20843,107,,18863,,176183
Curacao,17598,182,,17291,,165065
Aruba,16605,177,,16231,,107422
Isle of Man,12643,67,,11838,,85685
New Caledonia,12389,280,,11937,,289471
Cayman Islands,7871,9,,4339,,66839
Gibraltar,7546,100,,7215,,33676
Bermuda,5764,106,,5634,,61945
Sint Maarten,4632,75,,4524,,43580
Faroe Islands,4413,13,,3926,,49132
Saint Martin,3973,56,,1399,,39620
Caribbean Netherlands,3138,22,,2973,,26576
Turks and Caicos Islands,3137,25,,3066,,39475
British Virgin Islands,2816,38,,,,30522
Greenland,1876,,,1606,,56913
Saint Barthelemy,1603,6,,,,9921
Anguilla,1523,4,,1434,,15197
Wallis and Futuna,454,7,9,438,6016,10954
Saint Pierre and Miquelon,91,,,60,,5753
Falkland Islands,83,,,,,3626
Montserrat,44,1,,42,,4996
Western Sahara,10,1,,8,,618563
Saint Helena,2,,,2,4361,6103
Micronesia,1,,,1,,116768
China,99780,4636,1381,93763,1225000000,1439323776
