region,confirmed,deceased,vaccinated,population
Equatorial Guinea,13599,175,247933,1468524
Djibouti,13508,187,78388,1008473
Saint Lucia,13048,282,54804,184824
South Sudan,12758,133,185148,11380783
Hong Kong,12467,213,4780357,7583704
New Zealand,12331,44,3926572,5002100
New Caledonia,12273,279,,289411
Isle of Man,11926,66,,85675
Central African Republic,11742,101,362298,4949385
Yemen,10025,1954,548933,30761184
The Gambia,9992,342,,2513258
Cayman Islands,7529,7,,66822
Eritrea,7458,61,,3616366
Gibraltar,7371,99,,33677
Niger,7080,261,507223,25452075
Guinea-Bissau,6444,149,349317,2034210
Sierra Leone,6402,121,703231,8207979
Dominica,6120,39,28908,72241
San Marino,5979,93,25455,34033
Grenada,5908,200,40561,113267
Liberia,5824,287,494052,5226892
Bermuda,5751,106,,61950
Chad,5701,181,185794,17096376
Saint Vincent and the Grenadines,5623,76,31580,111443
Liechtenstein,4941,62,25762,38284
Sint Maarten,4598,75,,43570
Comoros,4543,151,281946,895976
Antigua and Barbuda,4147,117,61418,99085
Saint Martin,3973,56,,39605
Faroe Islands,3916,13,,49128
Monaco,3885,36,26672,39639
São Tomé and Príncipe,3733,56,,224955
Turks and Caicos Islands,3107,25,,39463
Caribbean Netherlands,3040,22,,26571
British Virgin Islands,2809,38,,30518
Saint Kitts and Nevis,2790,28,27927,53736
Bhutan,2641,3,589215,783719
Saint Barthelemy,1603,6,,9920
Greenland,1582,,,56910
Anguilla,1414,3,,15194
Wallis and Futuna,454,7,6016,10958
Saint Pierre and Miquelon,86,,,5754
Falkland Islands,83,,,3624
Macao,77,,486338,661949
Montserrat,44,1,,4996
Vatican City,27,,,804
Solomon Islands,20,,161521,710858
Kiribati,,,59492,
Summer Olympics 2020,,,,
Spain,,,38409145,46780614
Western Sahara,10,1,,618242
Palau,8,,,18217
Vanuatu,6,1,89472,317362
Marshall Islands,4,,,59760
Samoa,3,,139865,200294
Saint Helena,2,,4361,6103
Tonga,1,,73183,107403
Micronesia,1,,,116742
