region,confirmed,deceased,vaccinated,population
World,267486343,5289120,4351353586,7867371854
United States,50270136,812205,236363835,333781277
India,34656822,473952,805404596,1399420665
Brazil,22157726,616067,164711745,214722227
United Kingdom,10560341,145826,51138245,68396535
Russia,9895597,284823,68551654,146226276
Turkey,8943837,78215,56422378,85637694
France,7987591,119899,52123145,65480330
Germany,6270761,104361,60028427,84167530
Iran,6141335,130356,58094169,85531007
Argentina,5346242,116703,37057428,45789314
Italy,5134318,134386,47477646,60334494
Colombia,5084466,128874,38646698,51658961
Indonesia,4258076,143893,143291352,277662471
Mexico,3905319,295601,78268776,130871191
Poland,3704040,86205,21022140,37787245
Ukraine,3519981,89436,13905431,43357380
South Africa,3051222,90002,17944783,60378511
Philippines,2835593,49761,40517967,111667580
Netherlands,2790830,19770,13250117,17189161
Malaysia,2667999,30718,25865614,32959271
Czechia,2282212,34034,6711563,10737430
Peru,2246633,201450,22749614,33628881
Thailand,2152384,21033,49223323,70050769
Iraq,2085586,23919,7691071,41512393
Belgium,1879784,27360,8853763,11661837
Canada,1815215,29827,30976960,38215765
Romania,1788260,57260,7766483,19053849
Chile,1775212,38535,16912417,19351055
Japan,1728113,18367,99970412,125921894
Bangladesh,1578011,28010,65176140,167037400
Israel,1347474,8210,6384685,9326000
Vietnam,1337523,26700,73663229,98592025
Pakistan,1287703,28793,82224088,227024140
Serbia,1267112,11995,3278080,8686960
Sweden,1219557,15144,7632138,10189412
Austria,1212999,12979,6414044,9079964
Portugal,1172420,18572,9064280,10154125
Hungary,1168728,36048,6166840,9625218
Switzerland,1073333,11690,5870406,8745217
Jordan,988159,11817,4196889,10348087
Greece,978402,18815,7175505,10350125
Kazakhstan,977031,12802,8795168,19098054
Cuba,963269,8311,10192861,11316715
Morocco,950801,14788,24529352,37536525
Georgia,875806,12519,1235785,3978200
Nepal,823102,11545,9879648,29886126
United Arab Emirates,742438,2149,9801529,10061375
Slovakia,739544,15004,2668040,5463429
Tunisia,718696,25407,6200507,11995584
Bulgaria,707885,29163,1786530,6873511
Lebanon,681332,8795,1970474,6781663
Belarus,666137,5193,3618830,9444872
Croatia,635027,11329,2210635,4069001
Guatemala,620435,15999,6126188,18389401
Ireland,602726,5707,3868993,5016709
Azerbaijan,598503,8004,5103256,10269971
Sri Lanka,569171,14505,15947255,21541794
Costa Rica,567706,7324,3904671,5160692
Saudi Arabia,549997,8847,24718878,35589310
Bolivia,546155,19264,5148121,11900803
Ecuador,529456,33488,13796237,18026241
Myanmar,524638,19146,16485315,54931930
Denmark,522581,2965,4607670,5821407
South Korea,489484,4020,42774131,51332370
Lithuania,484537,6901,1883004,2667861
Panama,479563,7379,3012554,4411910
Paraguay,463479,16484,3395632,7257889
Venezuela,435825,5208,16415684,28320539
Slovenia,432793,5336,1235290,2079347
Palestine,432602,4555,1986530,5270874
Kuwait,413555,2465,3304574,4360909
Dominican Republic,409002,4212,6894668,11003584
Uruguay,401340,6137,2754571,3490967
Mongolia,384288,2023,2261816,3353792
Honduras,378397,10416,4927085,10129903
Libya,375869,5514,1737773,7004957
Ethiopia,372462,6808,8678613,119032081
Moldova,367339,9270,948882,4020535
Egypt,364922,20821,27299203,105093906
Armenia,341468,7728,835816,2971174
Oman,304631,4113,3310409,5292165
Norway,294754,1096,4248661,5481916
Bosnia and Herzegovina,279179,12814,833233,3251585
Bahrain,277894,1394,1191152,1785980
Singapore,270588,771,5071148,5916198
Latvia,258419,4300,1286451,1856319
Kenya,255544,5337,5003403,55464057
Qatar,244545,611,2360308,2807805
Estonia,226304,1836,831317,1327813
Australia,222260,2072,20142711,25923219
North Macedonia,217775,7674,885888,2083252
Nigeria,214896,2980,7131832,213439149
Algeria,211859,6114,6875003,44983240
Zambia,210374,3668,806611,19119260
Albania,202295,3122,1087187,2873297
Finland,196180,1384,4304590,5553045
Botswana,195552,2420,921104,2419501
Uzbekistan,194904,1425,17987159,34163034
Kyrgyzstan,183744,2762,1146191,6678128
Montenegro,158838,2334,277934,628180
Afghanistan,157508,7317,4397449,40181243
Mozambique,152120,1941,6685501,32506041
Zimbabwe,145632,4718,3897441,15172407
Cyprus,138157,602,628634,1219940
Ghana,131246,1228,2651463,32000049
Namibia,130051,3574,366698,2606699
Uganda,127708,3258,3838439,47803211
Cambodia,120300,2971,14159169,17049958
El Salvador,119803,3789,4444990,6533059
Cameroon,107148,1804,792208,27489925
Rwanda,100449,1343,5987745,13410933
China,99371,4636,1225000000,1439323776
Maldives,92501,255,395956,554157
Luxembourg,91908,888,449972,640542
Jamaica,91554,2411,686096,2979671
Laos,82082,214,3744740,7426575
Trinidad and Tobago,76601,2303,650160,1405977
Senegal,74036,1886,1328153,17374215
Angola,65301,1735,6737721,34325856
Reunion,63863,391,,904458
Malawi,62015,2307,1198406,19836111
Ivory Coast,61844,706,,27311513
DR Congo,58858,1113,,93449004
Guadeloupe,55284,748,,400222
Fiji,52562,697,655857,905743
Kosovo,51144,1332,859855,
Suriname,51083,1175,258856,594155
Syria,48801,2788,890837,18108084
Eswatini,48358,1248,290582,1177354
French Polynesia,46324,636,,283233
French Guiana,46261,329,,309741
Martinique,45501,718,,374848
Madagascar,44800,972,589003,28707975
Sudan,44170,3200,1154253,45312234
Malta,40101,468,436215,443227
Mauritania,39621,844,1088628,4824240
Cape Verde,38460,351,299770,564628
Guyana,38261,1009,403537,791986
Gabon,37511,281,186639,2300778
Papua New Guinea,35662,573,269366,9189329
Belize,30888,582,228517,407949
Guinea,30798,388,1680365,13641593
Togo,26326,243,1281856,8555980
Barbados,26306,240,154033,287879
Tanzania,26270,730,1592897,62164023
Haiti,25638,750,118222,11601406
Benin,24863,161,774881,12576796
Seychelles,23537,127,81937,99219
Somalia,23051,1331,589128,16526492
The Bahamas,22846,705,,398621
Mauritius,22251,455,916524,1274790
Lesotho,21838,663,581857,2166556
Mayotte,21043,185,,282220
Burundi,20473,38,1834,12396454
Timor-Leste,19829,122,,1354346
Channel Islands,19706,105,,176156
Congo,19066,359,521700,5712141
Andorra,18815,133,54999,77442
Iceland,18765,35,286323,344413
Mali,18112,619,798505,21083786
Curacao,17502,180,,165054
Nicaragua,17328,210,4053890,6737323
Tajikistan,17095,124,3024020,9843790
Taiwan,16688,848,18338424,23878502
Aruba,16484,175,,107415
Burkina Faso,16334,290,364565,21721937
Brunei,15229,98,404557,443474
Equatorial Guinea,13599,175,247933,1468777
Djibouti,13508,188,78388,1008551
Saint Lucia,13060,283,54833,184829
South Sudan,12826,133,185148,11381500
New Zealand,12516,44,3935885,5002100
Hong Kong,12472,213,4789743,7584036
New Caledonia,12321,280,,289426
Isle of Man,12147,66,,85677
Central African Republic,11742,101,375096,4949844
Yemen,10043,1955,556652,30764781
The Gambia,9992,342,,2513630
Cayman Islands,7724,9,,66826
Eritrea,7513,62,,3616635
Gibraltar,7402,100,,33677
Niger,7099,265,507223,25456893
Guinea-Bissau,6444,149,368424,2034464
Sierra Leone,6405,121,703231,8208868
San Marino,6217,94,25455,34033
Dominica,6086,42,28908,72242
Grenada,5909,200,40561,113269
Liberia,5829,287,506647,5227544
Bermuda,5751,106,,61948
Chad,5701,181,198522,17098962
Saint Vincent and the Grenadines,5645,76,31696,111444
Liechtenstein,5050,64,25799,38285
Sint Maarten,4613,75,,43572
Comoros,4554,151,281946,896077
Antigua and Barbuda,4148,117,61420,99090
Faroe Islands,4053,13,,49129
Saint Martin,3973,56,,39609
Monaco,3942,36,26672,39640
São Tomé and Príncipe,3733,56,,224978
Turks and Caicos Islands,3107,25,,39466
Caribbean Netherlands,3073,22,,26572
British Virgin Islands,2816,38,,30519
Saint Kitts and Nevis,2791,28,27927,53738
Bhutan,2641,3,589215,783766
Greenland,1663,,,56911
Saint Barthelemy,1603,6,,9920
Anguilla,1469,4,,15195
Wallis and Futuna,454,7,6016,10957
Saint Pierre and Miquelon,91,,,5753
Falkland Islands,83,,,3625
Macao,77,,487082,661998
Montserrat,44,1,,4996
Vatican City,27,,,804
Solomon Islands,20,,161521,710950
Kiribati,,,59492,
Summer Olympics 2020,,,,
Spain,,,38447301,46780712
Western Sahara,10,1,,618322
Palau,8,,,18217
Vanuatu,6,1,96141,317401
Marshall Islands,4,,,59762
Samoa,3,,139865,200301
Saint Helena,2,,4361,6103
Tonga,1,,73296,107409
Micronesia,1,,,116748
