region,confirmed,deceased,active,recovered,vaccinated,population
World,275007340,5370190,24332480,244912885,4472959422,7869829081
Afghanistan,157787,7335,5218,145234,4397449,40210058
Albania,205777,3166,5235,197376,1111494,2873194
Algeria,214592,6184,60768,147640,6875003,45009236
Andorra,20549,134,2130,18285,56628,77446
Angola,65938,1738,430,63770,7246240,34359533
Antigua and Barbuda,4198,117,42,4039,61921,99116
Argentina,5389707,116903,39035,5233769,37606502,45802898
Armenia,343636,7899,7302,328435,869750,2971355
Austria,1249641,13479,44632,1191530,6544832,9081646
Azerbaijan,610318,8199,15453,586666,5138212,10272964
The Bahamas,22995,713,,21683,,398745
Bahrain,278499,1394,534,276571,1194968,1787930
Bangladesh,1581083,28048,7464,1545571,87546674,167091154
Barbados,27169,256,1439,25474,154990,287890
Belarus,684628,5385,2855,676388,4064247,9444770
Belize,31246,589,547,30110,229107,408186
Benin,24907,161,41,24705,1363471,12587243
Bhutan,2657,3,13,2641,589482,784044
Bolivia,563858,19428,33344,511086,5328739,11906025
Bosnia and Herzegovina,284272,13121,78933,192218,833233,3250920
Botswana,199864,2425,4987,192452,1125993,2421061
Brunei,15402,98,206,15098,405092,443611
Bulgaria,724793,30082,96008,598703,1904143,6871806
Burkina Faso,16672,296,450,15926,442769,21740799
Myanmar,528253,19220,3638,505395,16849172,54943869
Burundi,21422,38,20611,773,4010,12408116
Cape Verde,38589,351,119,38119,301215,564826
Cambodia,120416,3005,619,116792,14224202,17057546
Cameroon,107662,1836,519,105307,806176,27511656
Central African Republic,11961,101,5001,6859,446712,4952600
Chad,5701,181,646,4874,285922,17114478
Hong Kong,12527,213,130,12184,4831934,7586028
Macao,77,,,77,490428,662288
Comoros,4649,151,,4407,282378,896686
Congo,19179,365,6393,12421,734721,5716608
DR Congo,64448,1126,,50930,,93538680
Costa Rica,568538,7340,1544,559654,3922190,5162215
Ivory Coast,62077,706,,61088,,27332994
Croatia,675363,11981,22606,640776,2240403,4068175
Cuba,964097,8314,415,955368,10266992,11316489
Cyprus,145161,620,20171,124370,636379,1220227
Czechia,2403248,35223,212512,2155513,6764791,10738079
Denmark,617274,3076,108163,506035,4702853,5822074
Djibouti,13535,189,42,13304,108945,1009023
Dominica,6286,42,370,5874,29200,72248
Dominican Republic,411721,4223,1457,406041,6922834,11007148
Ecuador,536129,33593,58656,443880,14016690,18035030
Egypt,375330,21361,41678,312291,30505670,105157284
El Salvador,121530,3807,12156,105567,4465139,6534130
Equatorial Guinea,13618,175,36,13407,249215,1470296
Eritrea,7763,70,,7554,,3618244
Estonia,232120,1884,13036,217200,836808,1327842
Eswatini,60036,1261,9907,48868,320460,1177747
Ethiopia,376375,6866,18636,350873,9142809,119125729
Fiji,52623,697,730,51196,659250,905956
Finland,213318,1454,165864,46000,4322646,5553327
France,8625849,121493,997522,7506834,52430750,65485052
Gabon,37743,285,1970,35488,392898,2302504
The Gambia,10051,342,,9647,,2515865
Georgia,909160,13071,37140,858949,1302517,3977950
Ghana,131911,1255,973,129683,2651463,32021358
Greece,1034070,19891,55576,958603,7325305,10348464
Grenada,5919,200,42,5677,40930,113286
Guatemala,623662,16067,742,606853,6370482,18400282
Guinea,30814,388,650,29776,1687180,13653315
Guinea-Bissau,6456,149,18,6289,385186,2035994
Guyana,38870,1030,798,37042,406072,792110
Haiti,25920,765,2407,22748,120569,11605962
Vatican City,27,,,27,,804
Honduras,378804,10428,244758,123618,4927085,10135072
Hungary,1218295,37530,154511,1026254,6208430,9624417
Iceland,20232,36,1552,18644,287229,344486
Indonesia,4260544,144002,4923,4111619,151417878,277757244
Iran,6170979,131083,35619,6004277,58569046,85566254
