region,confirmed,deceased,active,recovered,vaccinated,population
World,280332696,5416370,25690929,248598718,4516340355,7871262452
United States,53222424,837854,11353552,41031018,241520561,333881850
India,34789397,479682,79361,34230354,837078735,1400124431
Brazil,22239436,618484,206634,21414318,165894312,214800545
United Kingdom,11891292,147857,1782066,9961369,51649696,68415009
Russia,10392020,304218,828031,9259771,72814442,146226276
Turkey,9307124,81576,281824,8943724,56789326,85684780
France,9116068,122642,1187496,7805930,52684808,65487807
Germany,7009634,111081,785053,6113500,61406913,84181401
Iran,6184762,131400,26984,6026378,59126764,85586815
Spain,,,,,39405157,46781649
Italy,5647313,136611,516839,4993863,48101901,60329897
Argentina,5460042,117035,78511,5264496,37853815,45810822
Colombia,5124690,129761,35801,4959128,38067694,51687099
Indonesia,4261759,144055,4655,4113049,156182585,277812528
Poland,4049838,94327,392077,3563434,21522012,37785102
Mexico,3951003,298777,353236,3298990,81913687,130941469
Ukraine,3645124,94838,122074,3428212,14583759,43343812
South Africa,3413540,90814,210769,3111957,18844628,60417326
Netherlands,3065010,20716,509595,2534699,12525124,17191123
Philippines,2838640,51200,9522,2777918,56110301,111743302
Malaysia,2741179,31334,44811,2665034,25963883,32980798
Czechia,2445741,35749,150391,2259601,6800463,10738458
Peru,2278807,202488,,,24086191,33652731
Thailand,2212407,21598,34436,2156373,50768299,70059835
Iraq,2092484,24130,5371,2062983,8390446,41559362
Belgium,2038111,28149,414469,1595493,8899780,11664449
Canada,1980908,30146,131145,1819617,31638500,38232925
Romania,1802745,58551,11603,1732591,7930488,19047223
Chile,1800280,39034,45837,1715409,17204986,19359563
Japan,1731515,18387,2056,1711072,100262404,125901883
Vietnam,1651673,31214,372219,1248240,76881418,98637444
Bangladesh,1583253,28060,7766,1547427,87546674,167122510
Israel,1364966,8242,12756,1343968,6502468,9326000
Pakistan,1293440,28907,9674,1254859,92086806,227247167
Serbia,1290469,12594,21656,1256219,3302585,8685141
Portugal,1279785,18874,101719,1159192,9180041,10152588
Sweden,1273313,15229,72488,1185596,7737026,10192675
Austria,1264553,13634,29486,1221433,6587888,9082627
Hungary,1237330,38307,127251,1071772,6245773,9623950
Switzerland,1221424,12128,233912,975384,5956369,8748498
Greece,1074869,20429,62131,992309,7410988,10347495
Jordan,1052868,12487,42835,997546,4302428,10353341
Kazakhstan,985857,12974,15616,957267,8939377,19109710
Cuba,964729,8320,545,955864,10377251,11316357
Morocco,956119,14828,3586,937705,24610902,37559230
Georgia,924368,13512,28993,881863,1330278,3977804
Nepal,827271,11585,4906,810780,12251183,29913366
Slovakia,825629,16398,50772,758459,2711634,5463566
United Arab Emirates,751333,2158,7850,741325,9890348,10067577
Bulgaria,734720,30574,98339,605807,1904143,6870811
Tunisia,722795,25523,2178,695094,6562859,12002000
Ireland,715726,5890,164198,545638,3887772,5019571
Lebanon,712570,9042,51354,652174,2198189,6780084
Denmark,699608,3210,145219,551179,4784019,5822463
Belarus,693584,5499,1810,686275,4356041,9444711
Croatia,693253,12325,19171,661757,2251554,4067694
Guatemala,625166,16097,1176,607893,6474155,18406630
Azerbaijan,614630,8297,11235,595098,5155907,10274710
South Korea,611670,5300,109432,496938,43884305,51334653
Sri Lanka,583649,14884,9329,559436,15980825,21546444
Bolivia,576602,19546,37625,519431,5449955,11909071
Costa Rica,568860,7343,1278,560239,3934813,5163104
Saudi Arabia,552795,8871,3056,540868,24942157,35617474
Ecuador,540122,33641,62601,443880,14147786,18040157
Myanmar,529613,19254,3149,507210,18829259,54950834
Lithuania,511580,7287,26287,478006,1909194,2665904
Panama,487767,7416,6632,473719,3023682,4415439
Paraguay,465338,16601,1111,447626,3444261,7262437
Slovenia,456057,5542,16090,434425,1247913,2079362
Venezuela,443167,5313,6113,431741,18393519,28316375
Palestine,438263,4639,3678,429946,2053044,5277046
Kuwait,415151,2468,1343,411340,3329713,4364189
Dominican Republic,414226,4238,2738,407250,6932889,11009227
Uruguay,407381,6163,3967,397251,2763827,3491590
Ethiopia,398696,6898,38811,352987,9295910,119180357
Mongolia,388515,2054,73205,313256,2265616,3356535
Libya,385398,5651,6241,373506,1826165,7009809
Egypt,381343,21608,42536,317199,32102167,105194255
Honduras,379073,10430,244860,123783,4941269,10138087
Moldova,374526,9613,4500,360413,989897,4020050
Norway,374337,1257,284128,88952,4279565,5484114
Armenia,344481,7943,5945,330593,903661,2971460
Australia,311083,2196,76031,232856,20397079,25938573
Oman,305105,4114,700,300291,3121257,5298929
Bosnia and Herzegovina,287276,13269,81789,192218,882641,3250532
Kenya,282554,5361,27197,249996,6430229,55525687
Bahrain,279805,1394,1548,276863,1199648,1789068
Singapore,277764,822,2738,274204,4799168,5918583
Latvia,271431,4503,9359,257569,1307440,1855244
Qatar,248092,615,2729,244748,2360308,2807805
Nigeria,237561,3022,21989,212550,9242736,213705182
Estonia,236565,1909,13837,220819,839546,1327859
Zambia,233120,3702,17945,211473,806611,19146091
Finland,230392,1507,182885,46000,4345273,5553491
North Macedonia,223211,7904,4832,210475,840411,2083247
Algeria,216637,6238,61414,148985,7019879,45024400
Botswana,208994,2427,11088,195479,1131709,2421971
Albania,207709,3194,5129,199386,1131547,2873134
Zimbabwe,204351,4891,37249,162211,4095685,15183644
Uzbekistan,198242,1479,1570,195193,18665352,34188224
Kyrgyzstan,184477,2795,2093,179589,1213832,6683721
Mozambique,171502,1968,18229,151305,7845444,32551676
Montenegro,163373,2394,3000,157979,282650,628184
Afghanistan,157951,7354,5123,145474,4397449,40226866
Cyprus,150760,628,25762,124370,640890,1220395
Namibia,145637,3610,12522,129505,399636,2609091
Ghana,136436,1274,5112,130050,5774413,32033788
Uganda,134348,3275,32866,98207,8354808,47878563
El Salvador,121741,3818,10835,107088,4476802,6534755
Cambodia,120449,3008,580,116861,14239475,17061972
Cameroon,108676,1851,775,106050,806176,27524333
Laos,106231,325,98567,7339,3744740,7432058
Rwanda,105027,1347,58158,45522,7322935,13427651
Luxembourg,98983,907,5917,92159,458702,641072
Maldives,94864,261,2045,92558,396511,554652
Jamaica,92705,2463,25210,65032,709616,2980341
Trinidad and Tobago,89829,2768,16841,70220,707398,1406211
Senegal,74412,1890,205,72317,1328153,17397199
Reunion,71795,401,,65494,,904789
Angola,71752,1749,5987,64016,7423668,34379178
Malawi,71007,2332,9108,59567,1429632,19861857
DR Congo,70059,1126,,50930,,93590991
Eswatini,64443,1277,8223,54943,332743,1177977
Ivory Coast,63847,707,,61245,,27345525
Guadeloupe,56035,750,,2250,,400226
Fiji,52815,697,897,51221,661452,906080
Suriname,51578,1186,1310,49082,260987,594427
Syria,50089,2875,15298,31916,1186091,18130218
Madagascar,49590,1027,3855,44708,589003,28745051
Martinique,47300,769,,104,,374833
French Guiana,47229,337,,11254,,310144
French Polynesia,46376,636,,,,283317
Malta,46250,475,6178,39597,440425,443288
Sudan,46100,3298,4510,38292,4016849,45365524
Mauritania,40504,862,658,38984,1117799,4830606
Guyana,39107,1048,732,37327,440072,792182
Cape Verde,39072,351,549,38172,302802,564941
Gabon,38039,286,1532,36221,392898,2303512
Papua New Guinea,36110,589,147,35374,283915,9198141
Belize,31503,592,496,30415,229714,408324
Guinea,31117,389,925,29803,1739338,13660153
Togo,28268,246,1970,26052,1366662,8566080
Lesotho,28126,665,12528,14933,648817,2167436
Barbados,27673,260,969,26444,155459,287897
Tanzania,26483,734,,,1592897,62252702
Haiti,25950,765,2121,23064,122580,11608620
Benin,24935,161,69,24705,1561336,12593337
Seychelles,24197,131,,23742,82323,99250
Burundi,23657,38,22846,773,4010,12414919
Channel Islands,23627,112,,20939,,176240
The Bahamas,23539,713,,21745,,398816
Somalia,23532,1333,9251,12948,1164923,16549599
Mauritius,23208,762,685,21761,937052,1274899
Iceland,22087,37,2622,19428,287813,344528
Andorra,21730,139,1721,19870,56628,77448
Mayotte,21391,185,,2964,,282563
Mali,20079,654,1464,17961,866523,21114189
